一秘	一等秘书
知青	知识青年
研发	研究开发
研考	研究生入学考试
社保	社会养老保险
社教	社会教育
社科	社会科学
社署	香港社会福利署
社群	社会群体
禁用	禁止使用
私企	私营企业
私宅	私人住宅
科协	科学技术协会
科研	科学研究
科考	科学考察
税制	税收制度
空战	空中作战
空政	空军政治部
空运	航空运输
童军	童子军
童装	儿童服装
筹资	筹集资金
管委	管理委员会
管护	管理和保护
管输	管道输送
篮协	篮球协会
篮赛	篮球赛
粮价	粮食价格
粮援	粮食援助
粮菜	粮食和蔬菜
精研	精心研究
纠风	纠正行业不正之风
红高	红色高棉
纳指	纳斯达克综合指数
纺机	纺织机械
组派	组织派遣
组训	组织训练
经委	经济委员会
经援	经济援助
经管	经济管理
经院	经济学院
统分	统一分配
统战	统一战线
统招	统一招生
统管	统一管理
续任	继续留任
维园	香港维多利亚公园
维港	维多利亚港
网协	网球协会
罗政	罗马尼亚政府
美协	美术家协会
美展	美术作品展览
美航	泛美航空公司
美院	美术学院
羽协	羽毛球协会
考纪	考试纪律
考纲	考试大纲
职中	职业中学
职总	职工总会
职校	职业学校
职棒	职业棒球
职高	职业高中
联保	联合保险
联共	联合共产党
联招	联合招生
联航	联合航空公司
聚赌	聚众赌博
股价	股票价格
股值	股票价值
育乐	体育娱乐
能耗	能源消耗
脱险	脱离危险
自民	自由民主
舞美	舞台美术
航校	航空学校
航母	航空母舰
艰困	艰难困苦
艺文	艺术文化
艺校	艺术学校
节市	节日市场
节支	节约开支
节水	节约用水
节电	节约用电
花市	花卉市场
英航	英国航空公司
药监	药品监督
莫大	莫斯科大学
营收	营业收入
蔬果	蔬菜水果
虫草	冬虫夏草
血检	血液检测
血防	血吸虫病防治
行止	行为举止
补税	补交税款
袭警	袭击警察
西画	西洋画
西语	西班牙语
观展	参观展览
观赛	观看比赛
规管	规划管理
触法	触犯法律
警校	警察学校
警署	警察署
计生	计划生育
议联	议员联盟
访京	访问北京
评优	评选优秀
评先	评选先进
话机	电话机
调研	调查研究
调资	调整工资
财困	财政困难
财年	财政年度
财金	财政金融
财长	财政部部长
责编	责任编辑
败因	失败原因
质保	质量保证
质监	质量监督
购股	购买股票
贸工	贸易和工业
赤几	赤道几内亚
超模	超级模特
越战	越南战争
足协	足球协会
足校	足球学校
跌势	下跌趋势
车管	车辆管理
轻卡	轻型卡车
边城	边境城市
边检	边防检查
边贸	边境贸易
辽沈	辽宁沈阳
运毒	运送毒品
运管	运输管理
运能	运输能力
运距	运输距离
违宪	违反宪法
速滑	速度滑冰
邮储	邮政储蓄
采供	采购供应
重审	重新审查
重教	重视教育
金饰	黄金首饰
钢研	钢铁研究
钱江	钱塘江
销势	销售形势
锡盟	锡林郭勒盟
长影	长春电影制片厂
长航	长江航运
长话	长途电话
长输	长途运输
防台	防御台风
防指	防汛抗旱指挥部
防贪	防止贪污
阿盟	阿拉伯国家联盟
附中	附属中学
附小	附属小学
附院	附属医院
陆航	陆军航空兵
陶艺	陶瓷艺术
青工	青年工人
非统	非洲统一组织
非行	非洲开发银行
音效	音响效果
领馆	领事馆
飞安	飞行安全
食油	食用植物油
首体	首都体育馆
首演	首场演出
马岛	马尔维纳斯群岛
马盟	阿拉伯马格里布联盟
马约	马斯特里赫特条约
马航	马来西亚航空公司
驾机	驾驶飞机
驾照	驾驶执照
高专	高等专科学校
高工	高级工程师
高师	高等师范
高干	高级干部
高息	高额利息
高检	最高人民检察院
高知	高级知识分子
高铁	高速铁路
高院	高级人民法院
黄陵	黄帝陵
一战后	第一次世界大战后
七运会	第七届全国运动会
上交所	上海证券交易所
世运会	世界运动会
世锦赛	世界锦标赛
世青赛	世界青年锦标赛
业委会	业主委员会
个体户	个体工商户
中东社	中东通讯社
中纪委	中央纪律检查委员会
临管会	临时管理委员会
五一节	五一国际劳动节
亚冬会	亚洲冬季运动会
亚锦赛	亚洲锦标赛
交通量	交通流量
人口所	人口研究所
伊通社	伊拉克通讯社
俄联邦	俄罗斯联邦
公用局	公用事业局
关工委	关心下一代工作委员会
副主委	副主任委员
动物所	动物研究所
北师大	北京师范大学
华师大	华东师范大学
南共体	南部非洲发展共同体
厂商会	香港中华厂商联合会
合同工	合同制工人
哈医大	哈尔滨医科大学
商交所	商品交易所
商标权	商标专用权
国开行	国家开发银行
国税局	国家税务局
国统区	国民党统治区
基民党	基督教民主党
基社盟	基督教社会联盟
外汇局	外汇管理局
外经贸	对外经济贸易
外贸部	对外贸易部
妇代会	妇女代表大会
妇女会	妇女协会
安委办	安全生产委员会办公室
安莎社	安莎通讯社
居委会	居民委员会
工业所	工业经济研究所
工博会	工业博览会
工展会	工业展览会
广电部	广播电影电视部
开发署	联合国开发计划署
心内科	心血管内科
心外科	心血管外科
总工会	中华全国总工会
投洽会	投资洽谈会
政研室	政策研究室
教科院	教育科学研究院
文艺界	文学艺术界
无人机	无人驾驶飞机
日用品	日常生活用品
时事社	时事通讯社
朝中社	朝鲜中央通讯社
植物所	植物研究所
欧空局	欧洲空间局
欧航局	欧洲航天局
民族宫	北京民族文化宫
民管会	民主管理委员会
民自党	民主自由党
民运会	少数民族运动会
汽修厂	汽车修理厂
法学所	法学研究所
法工委	法制工作委员会
深交所	深圳证券交易所
港澳办	港澳事务办公室
火电站	火力发电站
煤炭部	煤炭工业部
物理所	物理研究所
环保部	环境保护部
环委会	环境保护委员会
短训班	短期培训班
社保费	社会保险费
科考队	科学考察队
纪检委	纪律检查委员会
纺织部	纺织工业部
经团联	日本经济团体联合会
经适房	经济适用房
群艺馆	群众艺术馆
老龄委	老龄工作委员会
联交所	香港联合交易所
联储局	联邦储备局
联委会	联合委员会
自贸区	自由贸易区
花博会	花卉博览会
药物所	药物研究所
行政庭	行政审判庭
证交所	证券交易所
财委会	财政委员会
财经委	财政经济委员会
边检站	边防检查站
金管局	香港金融管理局
飞行队	飞行服务队
首师大	首都师范大学
黄委会	黄河水利委员会
万国邮联	万国邮政联盟
上海交大	上海交通大学
世卫组织	世界卫生组织
中东和谈	中东和平谈判
二次大战	第二次世界大战
交管部门	交通管理部门
人口老化	人口老龄化
住房改革	住房制度改革
全国青联	中华全国青年联合会
刑事技术	刑事科学技术
劳动人口	劳动年龄人口
劳动市场	劳动力市场
北京人艺	北京人民艺术剧院
北京体院	北京体育学院
台湾两岸	台湾海峡两岸
国家民委	国家民族事务委员会
国家经委	国家经济委员会
国家语委	国家语言文字工作委员会
国家防总	国家防汛抗旱总指挥部
国际举联	国际举重联合会
国际体联	国际体操联合会
国际棋联	国际象棋联合会
国际网联	国际网球联合会
国际羽联	国际羽毛球联合会
国际马联	国际马术联合会
地空导弹	地对空导弹
大众传媒	大众传播媒介
工业废物	工业固体废物
工发组织	联合国工业发展组织
巴解组织	巴勒斯坦解放组织
环发大会	联合国环境与发展大会
电子科大	电子科技大学
空地导弹	空对地导弹
联柬机构	联合国驻柬埔寨临时权力机构
西南交大	西南交通大学
非公经济	非公有经济
香港工联	香港工会联合会
马列主义	马克思列宁主义
国家体改委	国家经济体制改革委员会
国家工商局	国家工商行政管理局
国家计生委	国家计划生育委员会
拉美经委会	拉丁美洲和加勒比经济委员会
国际民航组织	国际民用航空组织
海湾合作委员会	海湾阿拉伯国家合作委员会
