正选	正式选举
亚锦赛	亚洲锦标赛
粮价	粮食价格
财长	财政部部长
时限	时间限制
国家体改委	国家经济体制改革委员会
首体	首都体育馆
音效	音响效果
交委	交通委员会
月均	每月平均
政工	思想政治工作
研考	研究生入学考试
脱贫	摆脱贫困
高专	高等专科学校
包商	承包商
停售	停止销售
扩招	扩大招生
政争	政治斗争
社保费	社会保险费
民族宫	北京民族文化宫
空运	航空运输
十届	第十届
港岛	香港岛
增支	增加支出
二次大战	第二次世界大战
商交所	商品交易所
军控	军备控制
钱江	钱塘江
公审	公开审判
羽协	羽毛球协会
参试	参加试验
交通量	交通流量
刑事技术	刑事科学技术
附小	附属小学
产供	生产供应
纪检委	纪律检查委员会
油市	石油市场
钢研	钢铁研究
春管	春季田间管理
数学所	数学研究所
民乐	民族音乐
排管	排水管道
职中	职业中学
男双	男子双打
博协	博物馆协会
童装	儿童服装
国际举联	国际举重联合会
世行	世界银行
成教	成人教育
联交所	香港联合交易所
受阅	接受检阅
世锦赛	世界锦标赛
金管局	香港金融管理局
组训	组织训练
农资	农业生产资料
越战	越南战争
脱险	脱离危险
现值	现实价值
内审	内部审计
中运会	中学生运动会
报备	申报备案
临客	临时旅客列车
公交	公共交通
长影	长春电影制片厂
首师大	首都师范大学
经委	经济委员会
军检	军事检察院
伊通社	伊拉克通讯社
内控	内部控制
东汽	东风汽车公司
协寻	协助寻找
军体	军事体育
智残	智力残疾
林大	林业大学
车市	汽车市场
商誉	商业信誉
大本	大学本科
复交	恢复外交关系
高知	高级知识分子
私烟	走私香烟
医界	医疗界
专才	专业人才
善信	善男信女
上交所	上海证券交易所
火电站	火力发电站
国家工商局	国家工商行政管理局
葬仪	安葬仪式
经团联	日本经济团体联合会
农贷	农业贷款
七运会	第七届全国运动会
特困	特殊困难
港警	香港警察
中纪委	中央纪律检查委员会
经适房	经济适用房
合作企业	中外合作经营企业
安盟	争取安哥拉彻底独立全国联盟
特训	特别训练
市务	市场业务
执纪	执行纪律
质保	质量保证
运毒	运送毒品
物理所	物理研究所
游将	游泳健将
财困	财政困难
拒收	拒绝接收
办展	举办展览
安莎社	安莎通讯社
经管	经济管理
波幅	波动幅度
足校	足球学校
马岛	马尔维纳斯群岛
印尼	印度尼西亚
评先	评选先进
放贷	发放贷款
普教	普通教育
食油	食用植物油
心内科	心血管内科
无照	无牌照
南师	南京师范大学
国基	国家基础
展馆	展览馆
政团	政治团体
软网	软式网球
反帝	反对帝国主义
科仪	科学仪器
欧陆	欧洲大陆
长防林	长江防护林
嫌犯	嫌疑犯
生化	生物化学
筹资	筹集资金
流脑	流行性脑脊髓膜炎
经援	经济援助
规管	规划管理
彩印	彩色印刷
影评	电影评论
锡盟	锡林郭勒盟
私宅	私人住宅
劳动人口	劳动年龄人口
建商	建筑商
职棒	职业棒球
上博	上海博物馆
村企	村办企业
续任	继续留任
监委	监察委员会
高息	高额利息
开发协会	国际开发协会
环卫	环境卫生
人口老化	人口老龄化
市况	市场状况
环保部	环境保护部
技协	技术协会
审案	审理案件
热作	热带作物
委培	委托培养
投洽会	投资洽谈会
西南交大	西南交通大学
军管	军事管制
武协	武术协会
考纪	考试纪律
北邮	北京邮电大学
合同工	合同制工人
政研室	政策研究室
军代表	解放军代表
海湾合作委员会	海湾阿拉伯国家合作委员会
女单	女子单打
外宣	对外宣传
住房改革	住房制度改革
高干	高级干部
劳动市场	劳动力市场
摘金	摘取金牌
客量	客流量
飞安	飞行安全
抗战	抗日战争
毛选	毛泽东选集
国际民航组织	国际民用航空组织
军训	军事训练
防保	预防保健
人口所	人口研究所
环委会	环境保护委员会
北展	北京展览馆
台胞	台湾同胞
共建	共同建设
汤杯赛	汤姆斯杯赛
公德	公共道德
世贸	世界贸易
美院	美术学院
科研	科学研究
瑞航	瑞士航空公司
邮费	邮政资费
健检	健康检查
举协	举重协会
专干	专职干部
增编	增加编制
完小	完全小学
高铁	高速铁路
附院	附属医院
女足	女子足球
农房	农民住房
环发大会	联合国环境与发展大会
巡讲	巡回演讲
语训	语言训练
时空	时间和空间
治黄	治理黄河
雪联	滑雪联合会
产销	生产和销售
财委会	财政委员会
航校	航空学校
上海交大	上海交通大学
增税	增加税收
女中	女子中学
西航	西北航空公司
投运	投入运行
国际体联	国际体操联合会
朝中社	朝鲜中央通讯社
黄陵	黄帝陵
菲航	菲律宾航空公司
主控	主要控制
农经	农业经济
彩照	彩色照片
纺织部	纺织工业部
美展	美术作品展览
防指	防汛抗旱指挥部
开行	开发银行
治淮	治理淮河
男曲	男子曲棍球
支书	支部书记
北大	北京大学
血检	血液检测
时评	时事评论
文教	文化教育
主秘	主任秘书
上视	上海电视台
政校	政治学校
巡展	巡回展出
体校	体育学校
金饰	黄金首饰
防贪	防止贪污
党纪	党的纪律
农电	农村用电
国际羽联	国际羽毛球联合会
药监	药品监督
超模	超级模特
央行	中央银行
巴解组织	巴勒斯坦解放组织
联柬机构	联合国驻柬埔寨临时权力机构
打私	打击走私活动
管城	管理城市
东协	东南亚国家协会
共荣	共同繁荣
环保	环境保护
战训	战备训练
户政	户籍政策
五一节	五一国际劳动节
外事	外交事务
外经	对外经济
青工	青年工人
星战	星球大战
法学所	法学研究所
军援	军事援助
摩步	摩托化步兵
计生	计划生育
俄联邦	俄罗斯联邦
特使	特命全权大使
国家经委	国家经济委员会
女花	女子花剑
驾照	驾驶执照
港大	香港大学
群艺馆	群众艺术馆
非行	非洲开发银行
中东社	中东通讯社
卫校	卫生学校
老龄委	老龄工作委员会
环发	环境与发展
空政	空军政治部
知青	知识青年
副主委	副主任委员
国家语委	国家语言文字工作委员会
文艺界	文学艺术界
减让	减税让利
交管部门	交通管理部门
工博会	工业博览会
无人机	无人驾驶飞机
农地	农业用地
能耗	能源消耗
川大	四川大学
男花	男子花剑
港客	香港客商
社科	社会科学
议联	议员联盟
采供	采购供应
内销	国内销售
女双	女子双打
加幅	增加幅度
农运	农民运动
艺校	艺术学校
责编	责任编辑
社保	社会养老保险
公厕	公共厕所
地学	地球科学
断交	断绝外交关系
尤杯赛	尤伯杯赛
女超	女子超级
普工	普通工人
新地	新鸿基地产
植棉	种植棉花
地矿	地质矿产
帮贫	帮助贫困户
复关	恢复关贸总协定缔约国地位
博导	博士生导师
英航	英国航空公司
国际棋联	国际象棋联合会
人武	人民武装
一秘	一等秘书
宣教	宣传教育
欧空局	欧洲空间局
内资	国内资本
教卫	教育和卫生
植物所	植物研究所
西语	西班牙语
主因	主要原因
共保	共同保护
外需	外部需求
书艺	书法艺术
城郊	城市郊区
台客	台湾旅客
建工	建筑工程
深大	深圳大学
全教会	全国教育工作会议
伊阵	伊斯兰拯救阵线
马盟	阿拉伯马格里布联盟
督查	监督检查
体院	体育学院
女垒	女子垒球
反战	反对战争
研发	研究开发
国企	国有企业
拉美	拉丁美洲
要角	重要角色
空压机	空气压缩机
劳服	劳动服务
人教社	人民教育出版社
党建	党的建设
助研	助理研究员
香港工联	香港工会联合会
安委办	安全生产委员会办公室
科考	科学考察
女曲	女子曲棍球队
棉织	棉纺织
朝军	朝鲜军队
劳教	劳动教养
股价	股票价格
汤杯	汤姆斯杯
小巴	小型巴士
初教	初等教育
体工	体育工作
修宪	修改宪法
空地导弹	空对地导弹
田管	田间管理
建外	建国门外
组工	组织工作
上航	上海航空公司
统招	统一招生
重教	重视教育
西画	西洋画
公铁	公路铁路
交行	交通银行
拒付	拒绝支付
公判	公开宣判
马列主义	马克思列宁主义
街总	街坊总会
水保	水土保持
地价	土地价格
批捕	批准逮捕
经合	经济合作
修院	修道院
开发署	联合国开发计划署
尿检	尿样检查
时事社	时事通讯社
中委	中央委员
桥联	桥牌联合会
文摘	文章摘要
女团	女子团体
云大	云南大学
票选	投票选举
私企	私营企业
刑警局	刑事警察局
维港	维多利亚港
莫大	莫斯科大学
哈医大	哈尔滨医科大学
工展会	工业展览会
共治	共同治理
居委会	居民委员会
台湾两岸	台湾海峡两岸
税制	税收制度
特需	特殊需要
农科	农业科学
营收	营业收入
商标权	商标专用权
国际网联	国际网球联合会
外销	对外销售
港人	香港人
电建	电力建设
美航	泛美航空公司
武大	武汉大学
自贸区	自由贸易区
城管	城市管理
女台	女子跳台跳水
早教	早期教育
从商	从事商业
金价	黄金价格
纠风	纠正行业不正之风
广电部	广播电影电视部
赤几	赤道几内亚
首演	首场演出
影业	电影业
吉大	吉林大学
商检	商品检验
女校	女子学校
判监	判处监禁
财年	财政年度
土军	土耳其军队
国际冰联	国际冰球联合会
体协	体育协会
台企	台湾企业
农技	农业技术
社教	社会教育
公关	公共关系
国家民委	国家民族事务委员会
陆航	陆军航空兵
金市	黄金市场
全国青联	中华全国青年联合会
三产	第三产业
航母	航空母舰
奥体	奥林匹克体育
农话	农村电话
联委会	联合委员会
投建	投资建设
中院	中级人民法院
上戏	上海戏剧学院
二秘	二等秘书
北影	北京电影制片厂
外军	外国军队
日航	日本航空公司
参访	参观访问
护鸟	保护鸟类
日用品	日常生活用品
空港	航空港
股值	股票价值
尤杯	尤伯杯
植保	植物保护
共管	共同管理
空战	空中作战
职校	职业学校
坚拒	坚持拒绝
公投	公民投票
牡丹卡	牡丹信用卡
严管	严格管理
医技	医疗技术
军贸	军火贸易
亚冬会	亚洲冬季运动会
减亏	减少亏损
南艺	南京艺术学院
高院	高级人民法院
政改	政治体制改革
台生	台湾学生
非统	非洲统一组织
体彩	体育彩票
裂伤	撕裂伤
管委	管理委员会
打防	打击和防范
国控	国家控制
花市	花卉市场
和约	和平条约
抬价	抬高价格
卫片	卫星照片
商贷	商业贷款
跌势	下跌趋势
一战后	第一次世界大战后
驾机	驾驶飞机
参会	参加会议
血防	血吸虫病防治
村委	村民委员会
学运	学生运动
港府	香港政府
建陶	建筑陶瓷
运管	运输管理
电大	广播电视大学
加航	加拿大航空公司
党工	党务工作
万国邮联	万国邮政联盟
日银	日本银行
受托	接受委托
密报	秘密报告
楼按	楼宇按揭
收审	收容审查
外空	外层空间
社群	社会群体
阿盟	阿拉伯国家联盟
现况	现实情况
证交所	证券交易所
妇女会	妇女协会
水运	水路运输
艺文	艺术文化
港姐	香港小姐
销势	销售形势
育乐	体育娱乐
商服	商业服务业
非公经济	非公有经济
地埋	地下埋藏
特委	特别委员会
南大	南京大学
警署	警察署
标煤	标准煤
技校	技工学校
中戏	中央戏剧学院
炮团	炮兵团
亚姐	亚洲小姐
国统区	国民党统治区
月入	每月收入
公用局	公用事业局
古史	古代历史
拳赛	拳击比赛
财经委	财政经济委员会
基建	基本建设
文娱	文化娱乐
增速	增长速度
川航	四川航空公司
建管	建筑管理
呼市	呼和浩特市
临建	临时建筑
专责	专门负责
个体户	个体工商户
劳改	劳动改造
电教	电化教学
国际马联	国际马术联合会
外贸部	对外贸易部
参训	参加训练
统分	统一分配
武联	武术联合会
外贸	对外贸易
中总	香港中华总商会
国家计生委	国家计划生育委员会
亚青	亚洲青年
举发	检举揭发
管护	管理和保护
世卫组织	世界卫生组织
高工	高级工程师
玻纤	玻璃纤维
平叛	平息叛乱
直机关	直属机关
欧航局	欧洲航天局
男网	男子网球
搜证	搜集证据
联储局	联邦储备局
黄委会	黄河水利委员会
实效	实际效果
大众传媒	大众传播媒介
特批	特别批准
华师大	华东师范大学
经院	经济学院
全麻	全身麻醉
联招	联合招生
作训	作战训练
学联	学生联合会
短训班	短期培训班
精研	精心研究
花博会	花卉博览会
军报	解放军报
高检	最高人民检察院
委办	委员会办公室
联航	联合航空公司
全代会	全国代表大会
北体	北京体育大学
心梗	心肌梗塞
北京人艺	北京人民艺术剧院
师专	师范专科学校
治污	治理污染
财金	财政金融
辽沈	辽宁沈阳
中东和谈	中东和平谈判
海缆	海底电缆
劳保	劳动保护
二汽	第二汽车制造厂
聚赌	聚众赌博
定存	定期存款
粮援	粮食援助
赛地	比赛地点
统管	统一管理
女柔	女子柔道
防台	防御台风
农险	农业保险
联共	联合共产党
电业	电力工业
浙大	浙江大学
公校	公办学校
国税局	国家税务局
油国	石油出口国
高师	高等师范
哥大	哥伦比亚大学
评优	评选优秀
专署	专员公署
工效	工作效率
显效	显著效果
港澳办	港澳事务办公室
强震	强烈地震
和谈	和平谈判
上京	上海京剧院
工时	工作时间
引资	引进资金
清大	台湾清华大学
煤炭部	煤炭工业部
实控线	实际控制线
深交所	深圳证券交易所
男乒	男子乒乓球
众院	众议院
运距	运输距离
动物所	动物研究所
参演	参加演出
飞行队	飞行服务队
温控	温度控制
