大运	大学生运动会
青协	青年协会
大学生体联	大学生体育联合会
木机厂	木工机械厂
农展	农业展览会
保联	保龄球联合会
参院	参议院
脊灰	脊髓灰质炎
排协	排球协会
司政后	司令部政治部后勤部
文理	文科理科
仓容	仓库容量
费负	费用负担
团支部	共青团支部
中小幼	中学小学幼儿园
隧巴	隧道巴士
职大	职工大学
网协	网球协会
农电网	农村电网
消协	消费者协会
武总招	武警总队招待所
名词委	名词委员会
直流	直流电
纺院	纺织工业学院
机译	机器翻译
轻机所	轻工业机械研究所
商事	商业事务
公意	公民意愿
民研所	民族研究所
农负	农民负担
科考队	科学考察队
军机	军事机密
心外科	心血管外科
护龄	护士工龄
矿管局	矿产资源管理局
军干	军队干部
警校	警察学校
玻纤院	玻璃纤维研究院
外航	外国航空公司
世运会	世界运动会
党支书	党支部书记
关员	海关人员
农影	农业电影制片厂
女乒	女子乒乓球队
国烟局	国家烟草专卖局
勋业	功勋事业
果菜业	水果蔬菜行业
片源	影片来源
残联	残疾人联合会
政法大	政法大学
少队部	少年先锋队队部
民兵运动会	民兵军事体育运动会
政经	政治经济学
农水	农田水利
工展馆	工业展览馆
昆虫所	昆虫研究所
话剧所	话剧研究所
花纱布	棉花棉纱棉布
童军	童子军
校警	学校警卫
乞服	乞丐服装
校董会	学校董事会
食协	食品工业协会
纺校	纺织工业学校
公汽	公共汽车
陶建	陶瓷建筑材料
企标	企业标准
治绩	政治业绩
编程	编制程序
中央美院	中央美术学院
芭团	芭蕾舞团
总长	总参谋长
吧女	酒吧女郎
联汇制	联系汇率制度
矿机厂	矿山机器厂
经参处	经济参赞处
管输费	管道输送费
人媒	人体媒介
艺师	艺术师范学校
国际曲棍联	国际曲棍球联合会
学额	学生名额
节庆	节日庆典
粮价	粮食价格
密语	密码语言
球圈	球类运动员圈子
牌费	车牌费用
工产	工业生产
电工部	电力工业部
科幻	科学幻想
顾委	顾问委员会
校护	学校护士
行址	银行地址
空冷器	空气冷却器
标粉	标准面粉
摩阻力	摩擦阻力
党政警民	党组织政府部门警察民众团体
特府	特区政府
粮管所	粮食管理所
世协	世界语协会
演职	演员职员
首体	首都体育馆
路局	铁路局
音效	音响效果
交委	交通委员会
共青团	共产主义青年团
计控室	计算机控制室
城调局	城市调查局
激唱	激光唱机
交大	交通大学
农职中	农村职业中学
外策	外交政策
农体协	农民体育运动协会
电工局	电器工业管理局
专办	专案办公室
科办	科技办公室
邮联	邮政联盟
世界羽联	世界羽毛球联合会
安居办	安居工程办公室
影视所	电影电视研究所
土杂公司	土产日用品杂品公司
乘委会	乘客委员会
国际体育记联	国际体育记者联合会
牢监	牢房监狱
电讯	电子通讯
住房办	住房办公室
包商	承包商
电子办	电子工业办公室
调焦	调整焦距
剧毒品	剧毒性商品
口讯	口语资讯
海装部	海军装备技术部
曲联	曲棍球联合会
声学所	声学研究所
友赛	友谊赛
科协	科学技术协会
面的	面包车型的士
党代会	党代表大会
营建	营房建筑
社保费	社会保险费
信贷款	信用贷款
国际排联	国际排球联合会
架构	框架结构
法制办	法制办公室
棉贷	棉花贷款
等离子体所	等离子体研究所
职技	职业技术
企业委	企业委员会
报警	报告警方
时政	时事政治
科技	科学技术
残运	残疾人运动会
体事	体育赛事
地税局	地方税务局
银系	银河系
商交所	商品交易所
消委会	消费者委员会
家床科	家庭病床科
轻工厅	轻工业厅
羽协	羽毛球协会
国姐	国家小姐
世拳协	世界拳击协会
农机办	农业机械办公室
壁饰	墙壁装饰
广协	广告协会
女师	女子师范学校
运程	命运进程
交通量	交通流量
狱务	监狱事务
老幼	老年人幼儿
世青	世界青年
全员	全体成员
驼绒	骆驼绒
油市	石油市场
航模	航空模型
中教	中学教师
军统	军统局
僚气	官僚习气
文体用品	文教体育用品
降本	降低成本
微生物所	微生物研究所
民负	人民负担
街委会	街道居民委员会
作协	作家协会
社经	社会经济
商界	商业界
舞校	舞蹈学校
干训班	干部培训班
语料	语言材料
消保法	消费者保护法
汽修业	汽车修理业
首汽	首都汽车公司
文哲所	文学哲学研究所
民乐	民族音乐
动因	动机原因
职中	职业中学
男双	男子双打
空陆海	空军陆军海军
博协	博物馆协会
球卡	球员卡
经委办	经济委员会办公室
转速表	转速测量仪表
坝电	大坝发电厂
童装	儿童服装
社盟	社会联盟
工大	工业大学
演训班	演员培训班
环保科研所	环境保护科学研究所
艺小	艺术小学
现局	现实局势
区委办	区委办公室
纺企	纺织企业
文工团	文艺工作团
资委会	国民党政府资源委员会
农技员	农业技术人员
摄录设备	摄像机录像机设备
大体联	大学生体育联合会
国际足联	国际足球联合会
泪弹	催泪弹
世锦赛	世界锦标赛
市管费	市场管理费
国府	国民政府
声像	声音图像
农资	农业生产资料
少管所	少年管教所
城巴	城市巴士
邮码	邮政编码
林科院	林业科学院
编务	编辑业务
现值	现实价值
搪协	搪瓷协会
干群	干部群众
乒协	乒乓球协会
中运会	中学生运动会
职高生	职业高中学生
食杂店	食品杂货店
农险处	农业保险处
农牧林	农业牧业林业
画艺	绘画艺术
公交	公共交通
老体协	老年人体育协会
首师大	首都师范大学
低幼	低龄幼儿
经委	经济委员会
儿艺	儿童艺术
军检	军事检察院
物构所	物质结构研究所
国际乒联	国际乒乓球联合会
民运会	少数民族运动会
纪委会	纪律委员会
助师	助理工程师
警总	警备总部
牧副渔	牧业副业渔业
党政军群	党组织政府部门军队群众
美编室	美术编辑室
党工妇青	党委会工会妇女联合会青年团
军体	军事体育
院务会	学院事务会议
智残	智力残疾
林大	林业大学
车市	汽车市场
图洽会	图书洽谈会
教代会	教师代表大会
商誉	商业信誉
报业	报纸出版业
大本	大学本科
外委会	外交委员会
国家体委	国家体育运动委员会
荣军	荣誉军人
党政军民学	党组织政府部门军队民众团体学生
贫协	贫农协会
市百货	市百货公司
基干	基层骨干
外空法学	外层空间法学
化机厂	化工机械厂
森工局	森林工业局
社保处	社会保险费事业处
体师	体育师范学校
女手	女子手球
医界	医疗界
梅鹿	梅花鹿
空姐	空中小姐
专才	专业人才
股份公司	股份制有限公司
火电站	火力发电站
军科院	军事科学院
车险公司	汽车保险公司
排联	排球联合会
农化品	农业化学品
荣军院	荣誉军人休养院
马列文论	马克思列宁主义文艺理论
农械	农业机械
共盟	共产主义者联盟
农贷	农业贷款
半导体所	半导体研究所
商机	商业机械
控温	控制温度
中常会	国民党中央常委会
园管局	园林管理局
文档	文书档案
财纪	财经纪律
基盘	基础地盘
科工协会	科学工作者协会
乒总	乒乓球总会
医具	医疗器具
核武库	核武器库
电站	发电站
党政群	党组织政府部门群众
国际铁协	国际铁路协会
集企	集体企业
电话办	电话办公室
特区	经济特区
胆石	胆囊结石
省话	省话剧团
书家	书法家
黄带	黄色录像带
纺工部	纺织工业部
大运村	大学生运动员村
粮企	粮食企业
金银	金牌银牌
青训班	青年培训班
女篮	女子篮球队
楼股	楼房股票
植生所	植物生理所
农轻重	农业轻工业重工业
农机	农业机械
供校	供销商业学校
核武	核武器
渔技	渔业技术
市办	市委办公室
扩频通信	扩展频谱通信
青运会	青年体育运动会
市务	市场业务
家装	家居装饰
世青足球赛	世界青年足球锦标赛
粮机厂	粮食机械厂
外佣	外籍女佣
商粮	商品粮
公疗	公费医疗
机动科	机械动力科
外教	外籍教师
戏曲所	戏曲研究所
地院	地质学院
战罪	战争罪行
特区办	特区办公室
拒收	拒绝接收
药化	药物化学
房津	房屋津贴
国际社	国际社会服务社
婚介所	婚姻介绍所
律管处	律师管理处
词作	词作者
电化铁路	电气化铁路
车模	汽车模型
工农比价	工农业商品交换比价
牛丸	牛肉丸子
妇教所	妇女教养所
副贴	副食品价格补贴
期金	期货资金
国际手联	国际手球联合会
文管所	文化管理所
足校	足球学校
速冻	快速冷冻
海协	大陆海峡两岸关系协会
技交会	技术交易会
文联	文学艺术家联合会
机位	飞机位置
网羽	网球羽毛球
业界	产业界
市总	市总工会
青话	青年话剧团
行管局	行政管理局
公退金	公务员退休金
税负	税务负担
村助	村长助理
民院	民族学院
大运会	大学生运动会
全纺会	全国纺织品交易会
翠戒	翡翠戒指
农管局	农业管理局
艺委会	艺术委员会
企管处	企业管理处
尸表	尸体表面
心内科	心血管内科
经管站	经济管理站
女装	女子服装
国防委	国防委员会
幼园	幼儿园
政文	政治文艺
文管局	文化管理局
国基	国家基础
校办	校长办公室
妇委	妇女委员
区政	区政府
电研所	电子研究所
市人大	市人民代表大会
书协	书法家协会
物交会	物资交易会
展馆	展览馆
敌工部	敌区工作部
外片	外国影片
敌特	敌方特务
炮研所	炮兵防空兵装备技术研究所
保额	保险金额
政团	政治团体
材质	材料质量
编办	编辑部办公室
峰会	高峰会议
技联	技巧联合会
空司	空军司令部
集贸	集市贸易
银企	银行企业
群体	群众体育
科仪	科学仪器
支哮	支气管哮喘病
土特	土产特产
战债	战争债务
独联体	独立国家联合体
税警局	税务警察局
摩配	摩托车配件
能委	能源委员会
篮协	篮球协会
生源	学生来源
乡干	乡干部
工研院	工业研究院
白喉杆菌	白喉棒状杆菌
嫌犯	嫌疑犯
团训班	团干部训练班
生化	生物化学
矿大	矿业大学
真相委	真相委员会
电教室	电化教学室
音院	音乐学院
海燕厂	海燕电影制片厂
群文	群众文化艺术
房管局	房产地产管理局
港务局	港务管理局
财赤	财政赤字
电子局	电子工业局
军工局	军事工业局
样车	样本列车
人艺	人民艺术剧院
市政办	市政工程办公室
光纤	光导纤维
拖厂	拖拉机制造厂
彩印	彩色印刷
助工	助理工程师
农林畜	农业林业畜牧业
影评	电影评论
私宅	私人住宅
林土所	林业土壤研究所
建商	建筑商
世界劳联	世界劳工联合会
街居	街道居民
职棒	职业棒球
节耗	节约能耗
国际世协	国际世界语协会
书研班	书法绘画艺术研讨班
党办	党委办公厅室
地检署	地方法院检察署
监管	监督管理
海协会	大陆海峡两岸关系协会
公民所	公民律师事务所
农函大	农业函授大学
农技校	农业技术学校
世排赛	世界排球锦标赛
音美	音乐美术
小教联	小学教师联合会
大专生	大学专科学生
国际棒协	国际棒球协会
史著	历史著作
年胀率	年度通货膨胀率
形象办	形象办公室
田联	田径联合会
电镜	电子显微镜
敌占区	敌方占领区
人大会	人民代表大会
党政	党组织政府部门
棉研所	棉花研究所
成棒	成人棒球
妇联会	妇女联合会
市况	市场状况
环保部	环境保护部
技协	技术协会
农水资源	农业水利资源
计财部	计划财务部
农校	农业技术学校
动源	动力源
现势	现实形势
铁纪	铁路纪律
影视圈	电影电视圈
热作	热带作物
界野	界限分野
私物	私人物品
外轮	外籍轮船
实务	实际事务
商博会	商品博览会
厂医	工厂医生
智障	智力障碍
护协	护士协会
干休所	干部休养所
武协	武术协会
航材所	航空材料研究所
歧见	分歧意见
海司	海军司令部
田协	田径协会
专区社	专区供销合作社
中教联	中学教师联合会
实绩	实际业绩
职运会	职工运动会
侨领	侨民领袖
美影	美术电影制片厂
房委会	房屋顾问委员会
全运	全运会
个展	个人作品展
团友	旅游团朋友
城工部	城市工作部
证券委	证券委员会
企财	企业财产
股市	股票市场
林型	森林类型
世局	世界局势
作代会	作家代表大会
羽锦赛	羽毛球锦标赛
建研院	建筑设计研究院
女师大	女子师范大学
电联	国际电信联盟
职业培训	职业技术培训
联汇	联系汇率
合同工	合同制工人
政研室	政策研究室
商院	商学院
商交会	商品交易会
科委会	科学研究委员会
航管中心	航务管理中心
政制	政治制度
品资所	品种资源研究所
社科联	社会科学界联合会
诗编	诗歌编辑
国训队	国家集训队
军代表	解放军代表
医科院	医学科学院
女单	女子单打
亲随	亲信随从
动植	动物植物
童影	儿童电影制片厂
粮贴	粮食补贴
文体委	文艺体育委员
社科院	社会科学院
渔会	渔民协会
影协	摄影家协会
劳动市场	劳动力市场
陆架	大陆架
客量	客流量
医训班	医疗培训班
小教	小学教师
市经	市场经济
照主	执照主人
质安员	质量安全员
社文处	社会文化管理处
人音社	人民音乐出版社
医药局	医药管理局
全运会	全国运动会
基地办	基地办公室
人口所	人口研究所
粮油肉	粮食油料肉制品
环委会	环境保护委员会
儿基会	儿童少年基金会
渔技员	渔业技术员
科展	科学知识展览会
商银	商业银行
手纺	手工纺织
技工	技术工人
农院	农业学院
液体导弹	液体推进剂导弹
地热	地球热能
儿麻	小儿麻痹症
卡带	卡式磁带
环保法	环境保护法
儿影	儿童电影制片厂
电传机	电传打字机
函电	信函电话电报
乡府	乡政府
里委	里弄委员会
国管局	国家管理局
艺委	艺术委员会委员
体模	人体模型
时长	时间长度
教职	教员职员
美院	美术学院
青企协	青年企业家协会
科研	科学研究
乒联	乒乓球联合会
武备	武器装备
全民	全体公民
郊县	城市郊区县
声光电	声音灯光电
行务	银行业务
孤寡	孤儿寡妇
视圈	电视演职员圈
邮费	邮政资费
财校	财政学校
警特	警察特务
医管局	医疗管理局
国际中学生体联	国际中学生体育联合会
食研所	食品工业研究所
警厅	警察厅
警力	警务力量
羽球	羽毛球
城管办	城市管理办公室
林管局	林业管理局
船管组	船只管理组
青少部	青少年部
孤幼	孤儿幼童
农建队	农民建筑队
债息	债券利息
史语所	历史语言研究所
女足	女子足球
轻工	轻工业
职代会	职工代表大会
农房	农民住房
纪委	纪检委
电贴	电力补贴
农牧渔机	农业牧业渔业机械
封资修	封建主义资本主义修正主义
农保	农村医疗保险
中大	中央大学
农会	农民协会
军政警宪	军队政府警察宪兵
数图网	数字图书网
人大	人民代表大会
节假	节日假日
原辅	原料辅料
友促会	国际友谊促进会
化轻	化学轻工业
污源	污染源
国际路联	国际道路联合会
县社	县供销合作社
航图	航空图
森经局	森林经济管理局
劳动资源	劳动力资源
财委会	财政委员会
乒球	乒乓球
航校	航空学校
班代	班级成员代表
核反应堆	原子核裂变反应堆
妇联办	妇女联合会办公室
民警	人民警察
市运会	市运动会
科研所	科学技术研究所
昆丑	昆曲丑角
检具	产品检验用具
粮市	粮食市场
农经办	农业经济办公室
丝绸公司	丝绸工业公司
汽渡	汽车轮渡
女中	女子中学
交管站	交通管理检查站
新研所	新闻研究所
国际体联	国际体操联合会
政经文史	政治经济文学历史
团代会	共青团代表大会
节能	节约能源
期指	期货指数
券商	证券商
货源	货物来源
水环监	水利环境监测
舞院	舞蹈学院
纪检组	纪律检查组
汽摩	汽车摩托车
农经	农业经济
农技站	农业技术推广站
彩照	彩色照片
林牧渔	林业牧业渔业
中委会	中央委员会
市场办	市场办公室
速测	快速检测
政法办	政法委员会办公室
少代会	少年代表大会
医工院	医药工业研究院
领海权	领海主权
竹艺	竹制品工艺
高检	高检院
柔锦赛	柔道锦标赛
医大	医科大学
纺织部	纺织工业部
花协	花卉协会
房贴	住房补贴
港口费	港口使用费
库管员	仓库保管员
防尘	防止灰尘
党政军企	党组织政府部门军队企业
大教联	大学教授联谊会
农业社	农业生产合作社
果蔬	水果蔬菜
邮司	邮票公司
乐评	音乐评论
电信局	电信管理局
个体劳协	个体劳动者协会
农运会	农民体育运动会
男曲	男子曲棍球
支书	支部书记
农林牧渔	农业林业牧业渔业
职初	职业初中
电网	电力网
地大	地质大学
民舞	民族舞蹈
税警	税务警察
速查法	快速查找法
汽配	汽车配件
手外科	手术外科
民俗	民间风俗
编委会	编辑委员会
股本	股份资本
股交所	股票交易所
工厦	工业大厦
音代会	音乐家代表大会
世乒赛	世界乒乓球锦标赛
市值	市场价值
果品办	果品办公室
女排	女子排球
时评	时事评论
省博	省博物馆
军医大	军事医科大学
基金委	基金委员会
主秘	主任秘书
薪津	薪金津贴
物校	物资学校
热作所	热带作物研究所
集管局	集体企业管理局
女排赛	女子排球锦标赛
企经委	企业经济委员会
矿警	矿山警察
工联	工联会
文编室	文学编辑室
光电所	光电技术研究所
政校	政治学校
政教处	政治教育处
曲协	曲艺工作者协会
军干校	军人干部学校
体校	体育学校
职监员	职工物价监督员
金饰	黄金首饰
计生户	计划生育户
免疫	免疫性
商团	商界业务代表团
篮联	篮球联合会
佛联	佛教徒联谊会
步校	步兵学校
商中	商业中学
少教所	少年管教所
奥项	奥运会项目
党政办	党政办公室
桥艺	桥牌艺术
城管委	城市管理委员会
剧协	戏剧家协会
物业办	物业办公室
校纪	学校纪律
考纪会	考纪委员会
农电	农村用电
国际羽联	国际羽毛球联合会
金交所	金融交易所
城运会	城市运动会
农工副	农业工业副业
助检员	助理检察员
工艺过程	工艺技术过程
央行	中央银行
女小	女子小学
干训队	干部集训队
测温	测量温度
塑膜	塑料薄膜
炮校	炮兵学校
粮交会	粮食交易会
党政工	党组织行政部门工会组织
塑瓶	塑料瓶
农副工	农业副业工业
冰期	冰川时期
标贴	商标招贴
环保	环境保护
城雕委	城市雕塑委员会
农广校	农业广播电视学校
女俘	女性俘虏
中博	中央博物院
林管站	林业管理站
服研所	服装研究所
户政	户籍政策
医办室	医生办公室
国新社	国际新闻社
外事	外交事务
军仪	军人仪表
弹速	子弹速度
外经部	外经贸部
地税	地方税务
海贝类	海产贝壳类
交长	交通部长
粮划署	粮食规划署
货邮	货物邮件
税政	税收政策
食品办	食品工业办公室
青工	青年工人
院校所	学院学校研究所
星战	星球大战
铁中	铁路中学
公教	公务教学
胶化	胶体化学
世青节	世界青年联欢节
校董	学校董事会董事
货客	货物旅客
童星	儿童电影明星
智龄	智力年龄
体语	身体语言
测控	监测控制
新影	中央新闻纪录电影制片厂
钢混	钢筋混凝土
冰协	冰球协会
根雕	树根雕刻
国家经委	国家经济委员会
待青	待业青年
女花	女子花剑
工办	工业办公室
驾照	驾驶执照
群艺馆	群众艺术馆
社团办	社团办公室
竞体	竞技体育
化危品	化学危险品
世羽赛	世界羽毛球锦标赛
金商	黄金经营商
城运村	城市运动会运动员村
农技协	农业技术协会
医患	医生患者
空政	空军政治部
盒带	盒式录音带
男中	男子中学
政工组	政治工作组
民委	民族事务委员会
石化	石油化工
民谚	民间谚语
影人	电影界人士
知青	知识青年
激光所	激光技术研究所
劳顾会	劳资顾问委员会
国际曲联	国际曲棍球联合会
文艺界	文学艺术界
全民企业	全民所有制企业
交管部门	交通管理部门
工博会	工业博览会
民曲	民间乐曲
戏工室	戏剧工作室
特检站	经济特区检查站
声韵	声母韵母
男花	男子花剑
手协	手球协会
警员	警务人员
社科	社会科学
交警	交通警察
议联	议员联盟
院纪	学院纪律
质管员	质量管理员
融政	金融政治
女双	女子双打
工资系数	工资等级系数
女工部	妇女工作部
艺校	艺术学校
工企	工业企业
影机	电影放映机
农化	农业化学
林校	林业学校
责编	责任编辑
质保书	质量保证书
钢院	钢铁学院
航联	航空联合会
文史哲	文学史学哲学
传媒	传播媒介
电挂	电报挂号
科代会议	科学工作者代表会议
侨务处	华侨事务处
农林厅	农业林业厅
地学	地球科学
劳联	劳工联合会
政工部	政治工作部
市百	市百货公司
军需所	军需装备研究所
半导体	半导体收音机
私财	私人财产
农金	农村金融
棉站	棉花收购站
蔬果	蔬菜水果
裁委会	裁判委员会
拳协	拳击协会
农军	农民自卫军
地矿	地质矿产
特稿	特写稿件
交检站	交通管理检查站
外银	外资银行
博导	博士生导师
动效	动作效果
邮掮	邮票掮客
机器人所	机器人研究所
外币	外国货币
国际棋联	国际象棋联合会
人武	人民武装
支委	支部委员会委员
手联	手球联合会
乡医	乡村医学
空模	航空模型
青军会	青年军人联合会
村代会	村民代表大会
护校	护士学校
男团	男子团队
植物所	植物研究所
分委	分委会
车配	车辆配件
民联	三民主义同志联合会
农林水	农业林业水利
热工学	热能工程学
泳队	游泳队
参委	参事委员会
导游女	导游女郎
电感	电子感应
橡塑品	橡胶塑料制品
国商	国际商业信贷银行
省建公司	省建筑工程公司
冶金所	冶金研究所
小四轮	小四轮拖拉机
外委	外事委员会
智商	智力商数
计算所	计算机技术研究所
土肥所	土壤肥料研究所
炮指	炮兵指挥部
空调	空气调节
学则	学生守则
妇救会	妇女救国会
计财处	计划财务处
环情	环境情况
老区办	老区办公室
化物	化学物理
提案委	提案委员会
毒副	毒品副作用
外债	外国债务
职棒球员	职业棒球队员
党政军警民	党组织政府部门军队警察民众团体
航线	航空线
廉政办	廉政办公室
金属所	金属研究所
党团	党组织团组织
武委会	武术委员会
书艺	书法艺术
群团	群众性团体
世经所	世界经济研究所
药械科	药品器械科
视保屏	视力保护屏
市府办	市政府办公室
船模	舰船模型
电子科大	电子科技大学
轻工部	轻工业部
权责利	权力责任利益
律联	律师联盟
县人大	县人民代表大会
建工	建筑工程
地矿部	地质矿产部
农救	农民救国会
收汇	收入外汇
流感	流行性感冒
耶教	耶稣教
村干	村干部
化工公司	化学原料工业公司
国际货约	国际铁路货物运送公约
体院	体育学院
商办	商务办事处
女垒	女子垒球
省队	省代表队
男篮	男子篮球
旅业	旅游业
刊大	刊授大学
人身险	人身保险
盲协	盲人协会
总产	总产量
中研院	国民党中央研究院
外语系	外国语言文学系
篮赛	篮球赛
黑工	黑市劳工
空压机	空气压缩机
党政军警	党组织政府部门军队警察
担运队	担架运输队
生资站	生产资料站
土管局	土地管理局
功模	功臣模范
等离子刀	等离子体手术刀
中行	中央银行
助研	助理研究员
个唱	个人演唱会
市管处	市政工程管理处
空政文工团	空军政治部文艺工作团
社福	社会福利
人险	人身保险
艺院	艺术学院
盒饭	盒装饭菜
国际垒联	国际垒球联合会
节材	节约材料
伙委	伙食委员
军工	军事工业
全委	全国委员会
信用联社	信用联合社
足协	足球协会
旱涝	旱灾涝灾
妇干	妇女干部
女曲	女子曲棍球队
文化局	文化事业管理局
像带	录像带
政圈	政治圈子
棉织	棉纺织
舰院	舰艇学院
菌肥	细菌肥料
经警	经济警察
员额	人员数额
车险	汽车保险
汽配城	汽车配件城
教辅	教学辅导
黄毒	黄色毒素
拖配厂	拖拉机配件厂
行署	行政公署
女大	女子大学
农本	农业成本
管控	管理控制
农林委	农林委员会
主委	主任委员
孕产	孕妇产妇
资产	资金财产
电算	电子计算
站调	航站调度室
八办	八路军办事处
农政部	农村政治部
内航局	内河航运局
股价	股票价格
船位	船位置
科社部	科学社会部
厂纪	工厂纪律
峨影	峨嵋电影制片厂
文博院	文物博物院
男高	男高音
下议员	下议院议员
商储	商品储运
乡企	乡镇企业
商况	商业情况
报章	报刊文章
中医药局	中医药品管理局
航管所	航务管理所
外研所	外国语言研究所
航电	航空电磁法
胰石	胰腺结石
税企	税务企业
软交会	软件交易会
汽教	汽车教练
五四三	五讲四美三热爱
文宣队	文艺宣传队
橡塑厂	橡胶塑料厂
电视机	电视接收机
老协	老年人协会
机械委	机械工业委员会
农中	农业中学
世青会	世界青年运动会
西画	西洋画
少足	少年足球
公铁	公路铁路
农博会	农业博览会
交行	交通银行
青少体校	青少年体育运动学校
建材厂	建筑材料厂
影联	电影工作者联盟
商战	商业战争
关余	关税余额
网膜	视网膜
市宫	市工人文化宫
鳏寡	鳏夫寡妇
马列主义	马克思列宁主义
