23中	第23中学
台企	台湾企业
台大	台湾大学
台客	台湾旅客
台生	台湾学生
台胞	台湾同胞
史展	历史展览
史著	历史著作
司训	司机训练
吉化	吉林化学工业公司
吉大	吉林大学
名址	姓名和地址
吧女	酒吧女郎
启导	启发引导
呼市	呼和浩特市
和约	和平条约
和谈	和平谈判
商台	商业电台
商展	商品展览
商服	商业服务业
商检	商品检验
商誉	商业信誉
商贷	商业贷款
商运	商业运输
善信	善男信女
围殴	围攻殴打
国企	国有企业
国基	国家基础
国控	国家控制
国贸	国际贸易
图博	图书馆和博物馆
土军	土耳其军队
土改	土地改革
地价	土地价格
地勘	地质勘查
地埋	地下埋藏
地学	地球科学
地矿	地质矿产
坚拒	坚持拒绝
垒协	垒球协会
城巴	城市巴士
城建	城市建设
城管	城市管理
城郊	城市郊区
城雕	城市雕塑
基干	基层骨干
基建	基本建设
基材	基本材料
塑编	塑料编织
增幅	增长幅度
增招	增加招生
增支	增加支出
增收	增加收入
增税	增加税收
增编	增加编制
增速	增长速度
增销	增加销售
壁饰	墙壁装饰
声画	声音和画面
复交	恢复外交关系
复健	恢复健康
夏训	夏季训练
外事	外交事务
外军	外国军队
外烟	外国香烟
外空	外层空间
外航	外国航空公司
外销	对外销售
外需	外部需求
大本	大学本科
太钢	太原钢铁公司
央行	中央银行
失忆	失去记忆
奥体	奥林匹克体育
奥校	奥林匹克学校
女中	女子中学
女举	女子举重
女乒	女子乒乓球队
女单	女子单打
女双	女子双打
女台	女子跳台跳水
女团	女子团体
女垒	女子垒球
女师	女子师范学校
女曲	女子曲棍球队
女板	女子跳板跳水
女柔	女子柔道
女校	女子学校
女泳	女子游泳
女监	女子监狱
女花	女子花剑
女超	女子超级
女足	女子足球
妇委	妇女委员
妇检	妇科检查
委办	委员会办公室
委培	委托培养
婉拒	婉言拒绝
婚龄	结婚年龄
嫌犯	嫌疑犯
孔教	孔子教育
学具	学习用具
学联	学生联合会
学运	学生运动
学额	学生名额
守疆	守卫边疆
安保	安全保卫
安检	安全检查
安盟	争取安哥拉彻底独立全国联盟
安钢	安阳钢铁公司
宋瓷	宋代瓷器
完中	完全中学
完封	完全封锁
完小	完全小学
官校	军官学校
定存	定期存款
实效	实际效果
审案	审理案件
宣导	宣传引导
宣教	宣传教育
宪草	中华人民共和国宪法草案
宪警	宪兵和警察
家教	家庭教育
家财	家庭财产
射联	射击联合会
小巴	小型巴士
尤杯	尤伯杯
尸表	尸体表面
尼共	尼泊尔共产党
尼大	尼赫鲁大学
尿检	尿样检查
局地	局部地区
局麻	局部麻醉
届退	届龄退休
展馆	展览馆
岸炮	海岸炮
崇美	推崇美国
川府	四川政府
川航	四川航空公司
巡展	巡回展出
巡讲	巡回演讲
工体	北京工人体育场
工厦	工业大厦
工大	工业大学
工总	工业总会
工效	工作效率
工时	工作时间
工疗	工人疗养院
工美	工艺美术品
巨资	巨额资金
巴盟	内蒙古自治区巴彦淖尔盟
巴航	巴基斯坦航空公司
市况	市场状况
市办	市委办公室
市务	市场业务
市队	市代表队
师专	师范专科学校
师友	老师和朋友
师大	师范大学
师院	师范学院
帮贫	帮助贫困户
干管	干线管道
平叛	平息叛乱
平摊	平均分摊
幼托	幼儿入托
广府	广州政府
广涉	广泛涉及
应化	应用化学
庭期	开庭日期
建协	建筑协会
建商	建筑商
建外	建国门外
建工	建筑工程
建材	建筑材料
建照	建筑执照
建管	建筑管理
建陶	建筑陶瓷
开行	开发银行
引智	引进国外智力
引资	引进资金
强迁	强制迁移
强震	强烈地震
录干	录用干部
彩印	彩色印刷
彩卷	彩色胶卷
彩报	彩色报纸
彩照	彩色照片
彩超	彩色B超
影业	电影业
影圈	电影圈
影带	录影带
影星	电影明星
影本	电影剧本
征期	征收期
律协	律师协会
律考	律师考试
心搏	心脏搏动
心梗	心肌梗塞
心防	心理防线
总台	总服务台
息率	利息率
意航	意大利航空公司
成教	成人教育
成飞	成都飞机
战训	战备训练
户政	户籍政策
打私	打击走私活动
打防	打击和防范
执纪	执行纪律
扩招	扩大招生
扩灌	扩大灌溉面积
扩红	扩大红军
扩销	扩大销售
扫盲	扫除文盲
扬大	扬州大学
扶残	扶助残疾人
批建	批准建设
批捕	批准逮捕
技协	技术协会
技改	技术改造
技校	技工学校
投建	投资建设
投运	投入运行
抗战	抗日战争
护校	护士学校
抬价	抬高价格
抽佣	抽取佣金
拉美	拉丁美洲
拒付	拒绝支付
拒批	拒绝批准
拒收	拒绝接收
拘审	拘留审查
招委	招生委员会
招干	招聘干部
招选	招聘选拔
招飞	招收飞行学员
拥吻	拥抱和亲吻
拥塞	拥挤堵塞
拳协	拳击协会
拳赛	拳击比赛
损农	损害农民利益
换俘	交换俘虏
掌理	掌握管理
排协	排球协会
排管	排水管道
排联	排球联合会
探空	探测太空
控亏	控制亏损
控污	控制污染
控温	控制温度
控申	控告申诉
控购	控制购买
推普	推广普通话
握别	握手告别
援藏	支援西藏
搜毒	搜查毒品
搜证	搜集证据
携械	携带枪械
摄协	摄影家协会
摘金	摘取金牌
摩协	摩托车协会
摩步	摩托化步兵
摩配	摩托车配件
擅设	擅自设置
支乡	支援家乡
支书	支部书记
支边	支援边疆
支铁	支援铁路建设
收审	收容审查
收教	收容教育
放私	放纵走私
政争	政治斗争
政团	政治团体
政圈	政治圈子
政工	思想政治工作
政改	政治体制改革
政校	政治学校
政训	政治训练
政院	政治学院
救孤	救助孤儿
教办	教育办公室
教卫	教育和卫生
教参	教学参考资料
教研	教学研究
整党	整顿党风
整纪	整顿纪律
文保	文物保护
文娱	文化娱乐
文摘	文章摘要
文教	文化教育
断交	断绝外交关系
新例	新条例
新地	新鸿基地产
新航	新加坡航空公司
施压	施加压力
施袭	实施袭击
旅团	旅行团
旅展	旅游展览
无照	无牌照
日皇	日本天皇
日航	日本航空公司
日铁	日本铁路
日银	日本银行
早教	早期教育
时空	时间和空间
时评	时事评论
时限	时间限制
昆腔	昆山腔
星战	星球大战
星箭	卫星和火箭
春管	春季田间管理
显效	显著效果
晤商	会晤协商
普九	普及九年制义务教育
普六	普及六年制义务教育
普内	普通内科
普初	普通初中
普客	普通旅客列车
普工	普通工人
普教	普通教育
普种	普遍接种
普获	普遍获得
普训	普及培训
普高	普通高级中学
景瓷	景德镇瓷器
智残	智力残疾
暨大	暨南大学
曲联	曲棍球联合会
月入	每月收入
月均	每月平均
朝军	朝鲜军队
机修	机械修理
机译	机器翻译
村企	村办企业
村委	村民委员会
杜诗	杜甫的诗
杞忧	杞人之忧
杭大	杭州大学
林大	林业大学
林校	林业学校
枪匪	持枪匪徒
标售	标价出售
标样	标准样品
标煤	标准煤
校纪	学校纪律
桥联	桥牌联合会
检法	检察院和法院
棉检	棉花检验
棉站	棉花收购站
棉织	棉纺织
棒协	棒球协会
森工	森林工业
森警	森林警察
森防	森林防护
植保	植物保护
植检	植物检疫
楼按	楼宇按揭
欧币	欧洲国家货币
欧陆	欧洲大陆
正选	正式选举
步校	步兵学校
步炮	步兵和炮兵
武协	武术协会
武大	武汉大学
武星	武打明星
武联	武术联合会
残协	残疾人体育协会
残部	残余部队
毛选	毛泽东选集
民乐	民族音乐
民初	民国初年
民委	民族事务委员会
民庭	民事法庭
民曲	民间乐曲
民谚	民间谚语
民贸	民族贸易
氧割	氧气切割
水保	水土保持
水运	水路运输
汉译	汉语翻译
汤杯	汤姆斯杯
汽摩	汽车摩托车
汽渡	汽车轮渡
汽贸	汽车贸易公司
汽配	汽车配件
沈后	沈阳军区后勤部
沈大	沈阳大学
沈铁	沈阳铁路局
沙俄	沙皇俄国
河界	楚河汉界
油国	石油出口国
油建	油田建设
治保	治安保卫
治则	治疗原则
治太	治理太湖
治污	治理污染
治淮	治理淮河
治黄	治理黄河
泌乳	分泌乳汁
波幅	波动幅度
泳协	游泳协会
泳手	游泳选手
泳技	游泳技术
泳联	游泳联合会
津城	天津城
津沽	天津塘沽
派红	派发红利
流脑	流行性脑脊髓膜炎
浙大	浙江大学
浙昆	浙江昆剧团
海校	海军学校
海模	航海模型
海测	海洋测量
海科	海洋科学
海缆	海底电缆
涉老	涉及老年人
深大	深圳大学
深弹	深水炸弹
深房	深圳住房
清债	清理债务
清大	台湾清华大学
渔捞	渔业捕捞
温控	温度控制
港姐	香港小姐
港府	香港政府
港报	香港报纸
港片	香港影片
港监	港务监督
港股	香港股市
游将	游泳健将
滞港	滞留香港
滥权	滥用职权
演词	演说词
潜亏	潜在亏损
澳姐	澳门小姐
激辩	激烈争辩
炮团	炮兵团
炮校	炮兵学校
烈属	烈士家属
热作	热带作物
热工	热能工程
煤科	煤炭科学
煤质	煤炭质量
版协	出版协会
牌告	挂牌公告
牙防	牙病防治
物探	地球物理勘探
物耗	物资消耗
特困	特殊困难
特委	特别委员会
特批	特别批准
特支	特别支部
特训	特别训练
特需	特殊需要
狱务	监狱事务
玉烟	云南玉溪卷烟厂
环保	环境保护
环卫	环境卫生
环发	环境与发展
现值	现实价值
现况	现实情况
现势	现实形势
玻纤	玻璃纤维
珠影	珠江电影制片厂
瑞航	瑞士航空公司
生化	生物化学
田管	田间管理
甲减	甲状腺功能减退
申装	申请安装
电业	电力工业
电大	广播电视大学
电建	电力建设
电感	电子感应
电教	电化教学
电算	电子计算
电联	国际电信联盟
电镜	电子显微镜
男乒	男子乒乓球
男单	男子单打
男双	男子双打
男曲	男子曲棍球
男板	男子跳板跳水
男网	男子网球
男花	男子花剑
留美	留学美国
痕检	痕迹检验
监委	监察委员会
监销	监督销毁
盒带	盒式录音带
盲协	盲人协会
盲校	盲人学校
盲流	盲目流动
直客	直通旅客列车
直资	直接资助
省医	省立医院
督查	监督检查
知青	知识青年
短网	短式网球
矿大	矿业大学
研发	研究开发
研考	研究生入学考试
硕导	硕士生导师
社保	社会养老保险
社店	出版社和书店
社教	社会教育
社盟	社会联盟
社科	社会科学
社署	香港社会福利署
社群	社会群体
祭仪	祭奠仪式
禁映	禁止放映
禁用	禁止使用
福铁	福州铁路
私企	私营企业
私宅	私人住宅
私烟	走私香烟
科仪	科学仪器
科协	科学技术协会
科国	科威特国
科研	科学研究
科考	科学考察
科艺	科学和艺术
税制	税收制度
税警	税务警察
空战	空中作战
空政	空军政治部
空爆	空中爆炸
空运	航空运输
突审	突击审讯
立审	立案审查
童军	童子军
童装	儿童服装
筹资	筹集资金
管养	管理和养护
管城	管理城市
管委	管理委员会
管护	管理和保护
管输	管道输送
篮协	篮球协会
篮总	香港篮球总会
篮联	篮球联合会
篮赛	篮球赛
粮价	粮食价格
粮援	粮食援助
粮改	粮食购销体制改革
粮经	粮食经济
粮菜	粮食和蔬菜
粮贸	粮食贸易
精研	精心研究
索费	索取费用
纠风	纠正行业不正之风
红高	红色高棉
纪监	纪律监督
纳指	纳斯达克综合指数
纺机	纺织机械
组派	组织派遣
组训	组织训练
组设	组织设立
经委	经济委员会
经援	经济援助
经管	经济管理
经院	经济学院
统供	统一供应
统分	统一分配
统战	统一战线
统招	统一招生
统整	统一整合
统检	统一检查
统测	统一测试
统算	统一核算
统管	统一管理
绥署	绥靖公署
续任	继续留任
续演	继续演出
维园	香港维多利亚公园
维港	维多利亚港
综保	综合保险
绿带	绿化地带
编务	编辑业务
编采	编辑采访
网协	网球协会
网膜	视网膜
罗政	罗马尼亚政府
美协	美术家协会
美展	美术作品展览
美工	美术工作
美编	美术编辑
美航	泛美航空公司
美院	美术学院
群文	群众文化艺术
群管	群众管理
羽协	羽毛球协会
羽总	香港羽毛球总会
考纪	考试纪律
考纲	考试大纲
聋校	聋哑学校
职中	职业中学
职大	职工大学
职安	职业安全健康
职总	职工总会
职校	职业学校
职棒	职业棒球
职灾	职业灾害
职高	职业高中
联保	联合保险
联共	联合共产党
联招	联合招生
联校	联合学校
联汇	联系汇率
联航	联合航空公司
联试	联合试验
联贷	联合贷款
聚赌	聚众赌博
肌注	肌肉注射
股价	股票价格
股值	股票价值
育乐	体育娱乐
胆石	胆囊结石
胸透	胸部透视
能耗	能源消耗
脑体	脑力劳动和体力劳动
脱险	脱离危险
腰穿	腰椎穿刺
自协	自行车运动协会
自民	自由民主
自防	自身防范
舞协	舞蹈家协会
舞星	舞蹈明星
舞校	舞蹈学校
舞美	舞台美术
航图	航空图
航校	航空学校
航母	航空母舰
航院	航空学院
艰困	艰难困苦
艺大	艺术大学
艺展	艺术展览
艺文	艺术文化
艺校	艺术学校
节市	节日市场
节支	节约开支
节水	节约用水
节汇	节约外汇
节电	节约用电
节耗	节约能耗
花协	花卉协会
花市	花卉市场
苏杭	苏州和杭州
苏绣	苏州刺绣
英航	英国航空公司
荣军	荣誉军人
药化	药物化学
药监	药品监督
莎剧	莎士比亚戏剧
莫大	莫斯科大学
菌痢	细菌性痢疾
菲航	菲律宾航空公司
营收	营业收入
蔬果	蔬菜水果
虫草	冬虫夏草
血检	血液检测
血防	血吸虫病防治
行止	行为举止
街居	街道居民
街总	街坊总会
补校	补习学校
补税	补交税款
袭警	袭击警察
西画	西洋画
西航	西北航空公司
西语	西班牙语
观展	参观展览
观赛	观看比赛
规管	规划管理
视协	电视艺术家协会
解纷	解决纷争
触法	触犯法律
警号	警示信号
警校	警察学校
警署	警察署
计生	计划生育
订颁	制订并颁布
议联	议员联盟
设陷	设置陷阱
访京	访问北京
访查	访问调查
评优	评选优秀
评先	评选先进
评模	评选模范
评职	评定职称
译协	翻译工作者协会
话机	电话机
语委	语言文字工作委员会
语训	语言训练
调温	调节温度
调研	调查研究
调资	调整工资
财困	财政困难
财年	财政年度
财校	财政学校
财相	财政相
财金	财政金融
财长	财政部部长
责编	责任编辑
败因	失败原因
货代	货物运输代理
货检	货物检验
货管	货物运输管理
质保	质量保证
质监	质量监督
贪案	贪污案件
贪贿	贪污和受贿
购股	购买股票
贸工	贸易和工业
赛题	竞赛题目
赤几	赤道几内亚
超模	超级模特
越战	越南战争
足协	足球协会
足校	足球学校
跌势	下跌趋势
路警	铁路警察
跳雪	跳台滑雪
车况	车辆状况
车管	车辆管理
轮涨	轮番上涨
软网	软式网球
轻卡	轻型卡车
边城	边境城市
边检	边防检查
边贸	边境贸易
辽吉	辽宁吉林
辽沈	辽宁沈阳
迎检	迎接检查
运毒	运送毒品
运管	运输管理
运能	运输能力
运贸	运输贸易
运距	运输距离
运邮	运送邮件
远教	远距离教育
违宪	违反宪法
违诺	违反承诺
退约	退出条约
速滑	速度滑冰
速算	快速计算
道协	道教协会
邮储	邮政储蓄
邮市	邮票市场
邮费	邮政资费
邮运	邮政运输
酒钢	酒泉钢铁公司
采供	采购供应
采标	采用国际标准和国外先进标准
重审	重新审查
重教	重视教育
重百	重庆百货
金贸	黄金贸易
金饰	黄金首饰
针麻	针刺麻醉
钢研	钢铁研究
钢院	钢铁学院
钱江	钱塘江
铁中	铁路中学
销势	销售形势
锡盟	锡林郭勒盟
镇反	镇压反革命
长影	长春电影制片厂
长管	长期管理
长航	长江航运
长话	长途电话
长输	长途运输
间选	间接选举
防保	预防保健
防台	防御台风
防指	防汛抗旱指挥部
防疟	防治疟疾
防贪	防止贪污
阿盟	阿拉伯国家联盟
阿航	阿根廷航空公司
附中	附属中学
附小	附属小学
附院	附属医院
陆航	陆军航空兵
降损	降低损耗
陶艺	陶瓷艺术
青保	青少年保护
青协	青年协会
青工	青年工人
青训	青年培训
静息	安静休息
静点	静脉点滴
非统	非洲统一组织
非行	非洲开发银行
韩商	韩国商人
韩食	韩国食品
音协	音乐家协会
音效	音响效果
领馆	领事馆
飞安	飞行安全
食油	食用植物油
食监	食品卫生监督检验
餐旅	餐饮旅游
首体	首都体育馆
首图	首都图书馆
首拍	首次拍卖
首旅	首都旅游
首演	首场演出
马岛	马尔维纳斯群岛
马盟	阿拉伯马格里布联盟
马约	马斯特里赫特条约
马航	马来西亚航空公司
驾机	驾驶飞机
驾照	驾驶执照
高专	高等专科学校
高工	高级工程师
高师	高等师范
高干	高级干部
高息	高额利息
高护	高级护士
高检	最高人民检察院
高知	高级知识分子
高铁	高速铁路
高院	高级人民法院
鲁艺	鲁迅艺术文学院
黄带	黄色录像带
黄陵	黄帝陵
一战后	第一次世界大战后
一机厂	第一机械厂
一机部	第一机械工业部
一炼钢	第一炼钢厂
一附中	第一附属中学
七机部	第七机械工业部
七运会	第七届全国运动会
三机部	第三机械工业部
上交会	上海商品交易会
上交所	上海证券交易所
上师大	上海师范大学
世俱杯	世界俱乐部杯
世俱赛	世界俱乐部赛
世经所	世界经济研究所
世羽赛	世界羽毛球锦标赛
世运会	世界运动会
世锦赛	世界锦标赛
世青赛	世界青年锦标赛
业委会	业主委员会
个体户	个体工商户
个调税	个人收入调节税
中东社	中东通讯社
中心馆	中心图书馆
中纪委	中央纪律检查委员会
中评委	国民党中央评议委员
中财委	中央财政经济委员会
中运会	中学生运动会
临管会	临时管理委员会
二医大	上海第二医科大学
二十中	第二十中学
二商局	第二商业局
二机部	第二机械工业部
二炼钢	第二炼钢厂
二轻局	第二轻工业局
五一节	五一国际劳动节
五四三	五讲四美三热爱
五城会	第五届城市运动会
亚举联	亚洲举重联合会
亚俱杯	亚洲俱乐部杯
亚冬会	亚洲冬季运动会
亚排联	亚洲排球联合会
亚武联	亚洲武术联合会
亚田联	亚洲田径联合会
亚锦赛	亚洲锦标赛
交通量	交通流量
产加销	生产加工销售
人劳局	人事劳动局
人口所	人口研究所
人教司	人事教育司
人教社	人民教育出版社
仓管员	仓库管理员
企管处	企业管理处
企管部	企业管理部
伊通社	伊拉克通讯社
体改司	体制改革司
作代会	作家代表大会
俄联邦	俄罗斯联邦
保监处	保险业监理处
光机所	光学精密机械研究所
光电所	光电技术研究所
全教会	全国教育工作会议
公平会	公平交易委员会
公惩会	公务员惩戒委员会
公用局	公用事业局
六机部	第六机械工业部
六运会	第六届全国运动会
共享税	中央和地方共享税
关工委	关心下一代工作委员会
军停会	朝鲜军事停战委员会
军管会	军事管制委员会
农函大	农业函授大学
农工委	农村工作委员会
农广校	农业广播电视学校
农用电	农业用电
农研室	农村政策研究室
农研所	农业科学研究所
农调队	农村社会经济调查队
农高会	农业高新科技成果博览会
冬交会	冬季交易会
冶金所	冶金研究所
刑警局	刑事警察局
制博会	装备制造业博览会
副主委	副主任委员
加榴炮	加农榴弹炮
动物所	动物研究所
劳技课	劳动技术课
北师大	北京师范大学
医科院	医学科学院
十五中	第十五中学
华师大	华东师范大学
南共体	南部非洲发展共同体
厂商会	香港中华厂商联合会
古丝路	古代丝绸之路
史语所	历史语言研究所
合同工	合同制工人
哈军工	哈尔滨军事工程学院
哈医大	哈尔滨医科大学
商交所	商品交易所
商标权	商标专用权
四城会	第四届城市运动会
国开行	国家开发银行
国税局	国家税务局
国统区	国民党统治区
地球所	地球物理研究所
地矿局	地质矿产局
地科院	地质科学研究院
城工部	城市工作部
城管办	城市管理办公室
城调队	城市调查队
基民党	基督教民主党
基社盟	基督教社会联盟
墨通社	墨西哥通讯社
声学所	声学研究所
夏奥会	夏季奥林匹克运动会
外文局	外文出版发行事业局
外汇局	外汇管理局
外经贸	对外经济贸易
外联处	对外联络处
外联部	对外联络部
外贸部	对外贸易部
大三生	大学三年级学生
大体协	大学生体育协会
天民党	天主教民主党
妇代会	妇女代表大会
妇女会	妇女协会
妇委会	妇女委员会
妇工委	妇女工作委员会
妇救会	妇女救国会
学工部	学生工作部
学平险	学生平安保险
安保员	安全保卫人员
安保部	安全保卫部
安医大	安徽医科大学
安委办	安全生产委员会办公室
安莎社	安莎通讯社
实控线	实际控制线
宣教部	宣传教育部
家教会	家庭教育研究会
家计会	香港家庭计划指导会
少儿社	少年儿童出版社
居委会	居民委员会
展交会	展览交易会
展洽会	展览洽谈会
工业所	工业经济研究所
工博会	工业博览会
工展会	工业展览会
工研院	工业研究院
市交委	市交通委员会
市容委	市容管理委员会
市运会	市运动会
年运量	年运输量
广电部	广播电影电视部
广管局	香港广播事务管理局
库管员	仓库保管员
应化所	应用化学研究所
开发署	联合国开发计划署
心内科	心血管内科
心外科	心血管外科
总工会	中华全国总工会
戏文系	戏剧文学系
技物所	技术物理研究所
投洽会	投资洽谈会
政研室	政策研究室
教科所	教育科学研究所
教科院	教育科学研究院
教联会	香港教育工作者联会
数学所	数学研究所
文工会	文化工作委员会
文管办	文化市场管理办公室
文艺界	文学艺术界
无人机	无人驾驶飞机
无核国	无核武器国家
日用品	日常生活用品
时事社	时事通讯社
昆虫所	昆虫研究所
曲作家	词曲作家
有机所	有机化学研究所
朝中社	朝鲜中央通讯社
机械委	机械工业委员会
机电署	机电工程署
机电部	机械电子工业部
林科所	林业科学研究所
林科院	林业科学院
林管局	林业管理局
校委会	校务委员会
校董会	学校董事会
校运会	学校运动会
植物所	植物研究所
欧空局	欧洲空间局
欧航局	欧洲航天局
残奥运	残疾人奥林匹克运动
残工委	残疾人工作委员会
民宗委	民族宗教委员会
民族宫	北京民族文化宫
民管会	民主管理委员会
民自党	民主自由党
民运会	少数民族运动会
水电大	水利电力大学
水科院	水利水电科学研究院
污控司	污染控制司
汽修厂	汽车修理厂
法学所	法学研究所
法工委	法制工作委员会
法改会	香港法律改革委员会
海洋所	海洋研究所
海监局	海上安全监督局
消保会	消费者保护协会
消保法	消费者保护法
深交所	深圳证券交易所
港澳办	港澳事务办公室
激光所	激光技术研究所
火电站	火力发电站
煤化所	煤炭化学研究所
煤机厂	煤矿机械厂
煤炭部	煤炭工业部
煤管局	煤炭管理局
牡丹卡	牡丹信用卡
物交会	物资交易会
物理所	物理研究所
特教班	特殊教育班
环保部	环境保护部
环委会	环境保护委员会
环科所	环境科学研究所
瓦检员	瓦斯检测员
生物所	生物研究所
电子局	电子工业局
白兰花	白玉兰花
直机关	直属机关
省防指	省防汛指挥部
短训班	短期培训班
石化厅	石油化学工业厅
矿管局	矿产资源管理局
社保费	社会保险费
社科司	社会科学司
社科系	社会科学系
科考队	科学考察队
空压机	空气压缩机
红中社	红色中华通讯社
约通社	约旦通讯社
纪检委	纪律检查委员会
纺织部	纺织工业部
经协办	经济协作办公室
经团联	日本经济团体联合会
经济庭	经济审判庭
经联社	经济联合社
经适房	经济适用房
群艺馆	群众艺术馆
老体协	老年人体育协会
老慢支	老年慢性支气管炎
老龄委	老龄工作委员会
职高生	职业高中学生
联交所	香港联合交易所
联储局	联邦储备局
联委会	联合委员会
联汇制	联系汇率制度
自动线	自动生产线
自控力	自我控制力
自贸区	自由贸易区
花博会	花卉博览会
药物所	药物研究所
菲央行	菲律宾中央银行
葡共体	葡语国家共同体
蒙通社	蒙古通讯社
行政庭	行政审判庭
裁委会	裁判委员会
规土局	规划土地局
解阵党	解放阵线党
计经委	计划经济委员会
计财司	计划财务司
计财处	计划财务处
计财部	计划财务部
计量局	标准计量局
证交所	证券交易所
证交税	证券交易税
证管办	证券管理办公室
语言所	语言研究所
调解会	人民调解委员会
财委会	财政委员会
财经委	财政经济委员会
软交会	软件交易会
软件所	软件研究所
边检站	边防检查站
过境税	过境关税
运管费	运输管理费
近物所	近代物理研究所
退管会	退休职工管理委员会
