北师大	北京师范大学
举发	检举揭发
世卫组织	世界卫生组织
高工	高级工程师
玻纤	玻璃纤维
完封	完全封锁
美编	美术编辑
家纠	家庭纠纷
直机关	直属机关
刑拘	刑事拘留
男网	男子网球
搜证	搜集证据
医协	医学协会
心搏	心脏搏动
实效	实际效果
公边	公安边防
大众传媒	大众传播媒介
参赛	参加比赛
信资	信托投资
华师大	华东师范大学
社情	社会情况
速生	快速生成
律协	律师协会
经院	经济学院
全麻	全身麻醉
收教	收容教育
民初	民国初年
影技	摄影技术
短训班	短期培训班
军报	解放军报
高检	最高人民检察院
业委会	业主委员会
委办	委员会办公室
蒙族	蒙古族
近交	近亲交配
要项	重要项目
街办	街道办事处
工属	职工家属
北体	北京体育大学
心梗	心肌梗塞
北京人艺	北京人民艺术剧院
违宪	违反宪法
治污	治理污染
速算	快速计算
深港	深圳和香港
名记	著名记者
英荷	英国荷兰
助查	协助调查
财金	财政金融
日俘	日本战俘
辽沈	辽宁沈阳
海缆	海底电缆
劳保	劳动保护
军警	军队警察
聚赌	聚众赌博
定存	定期存款
赛地	比赛地点
污水厂	污水处理厂
税干	税务干部
方尺	平方英尺
统管	统一管理
省府	省政府
择业	选择职业
政民	政府和人民
影圈	电影圈
电业	电力工业
浙大	浙江大学
上师大	上海师范大学
商流	商品流通
公校	公办学校
编校	编辑校对
高师	高等师范
哥大	哥伦比亚大学
肌注	肌肉注射
城工	城市工作
烈属	烈士家属
津城	天津城
安大	安徽大学
显效	显著效果
生资	生产资料
工调	工资调整
私小	私立小学
强震	强烈地震
痕检	痕迹检验
实操	实际操作
普文	普通文科
工时	工作时间
辽大	辽宁大学
实控线	实际控制线
深交所	深圳证券交易所
男乒	男子乒乓球
动物所	动物研究所
基训	基本训练
国科大	国防科技大学
温控	温度控制
