军力	军事力量
地院	地质学院
公校	公办学校
私物	私人物品
安师大	安徽师范大学
仓管员	仓库管理员
科仪	科学仪器
户政	户籍政策
黄陵	黄帝陵
医界	医疗界
高专	高等专科学校
焚坑	焚书坑儒
地矿	地质矿产
声画	声音和画面
陆大	陆军大学
安医大	安徽医科大学
生物所	生物研究所
朝军	朝鲜军队
红会	红十字会
锡盟	锡林郭勒盟
杭大	杭州大学
汤杯	汤姆斯杯
妇保	妇女儿童保护
人教社	人民教育出版社
近交	近亲交配
迎检	迎接检查
拳赛	拳击比赛
友赛	友谊赛
男网	男子网球
空压机	空气压缩机
哈医大	哈尔滨医科大学
康梁	康有为梁启超
自组	自己组建
治污	治理污染
审案	审理案件
长输	长途运输
海缆	海底电缆
五四三	五讲四美三热爱
镇反	镇压反革命
高检	最高人民检察院
社情	社会情况
特委	特别委员会
师院	师范学院
西画	西洋画
农科	农业科学
美校	美术学校
治则	治疗原则
聚赌	聚众赌博
地勘	地质勘查
中芭	中央芭蕾舞团
规管	规划管理
世青	世界青年
涉台	涉及台湾
技改	技术改造
维港	维多利亚港
公汽	公共汽车
沈大	沈阳大学
赛果	比赛结果
驾机	驾驶飞机
政研室	政策研究室
抽佣	抽取佣金
海洋所	海洋研究所
女监	女子监狱
学则	学生守则
土军	土耳其军队
航院	航空学院
特钢	特种钢材
党工	党务工作
病检	病理检查
房贴	住房补贴
关员	海关人员
邓选	邓小平文选
联交所	香港联合交易所
外空	外层空间
滥权	滥用职权
国家民委	国家民族事务委员会
飞安	飞行安全
墨城	墨西哥城
西北师大	西北师范大学
心搏	心脏搏动
全锦赛	全国锦标赛
内异症	子宫内膜异位症
冰啤	冰镇啤酒
梅鹿	梅花鹿
优教	优秀教师
归侨	归国华侨
技监	技术监督
社教	社会教育
编校	编辑校对
烈属	烈士家属
日俘	日本战俘
