正选	正式选举
世青赛	世界青年锦标赛
纺机	纺织机械
调资	调整工资
外汇局	外汇管理局
宪草	中华人民共和国宪法草案
煤机厂	煤矿机械厂
新例	新条例
土改	土地改革
援藏	支援西藏
治保	治安保卫
佛协	佛教协会
冰联	冰球联合会
菌痢	细菌性痢疾
女举	女子举重
机电部	机械电子工业部
搜毒	搜查毒品
滥权	滥用职权
国际共运	国际共产主义运动
经协办	经济协作办公室
新航	新加坡航空公司
退约	退出条约
南共体	南部非洲发展共同体
临管会	临时管理委员会
家财	家庭财产
完中	完全中学
警号	警示信号
城建	城市建设
舞美	舞台美术
参赌	参加赌博
煤科	煤炭科学
心防	心理防线
南侨	南洋华侨
制博会	装备制造业博览会
教参	教学参考资料
盲流	盲目流动
中控	中央控制
成飞	成都飞机
考纲	考试大纲
基民党	基督教民主党
附中	附属中学
整党	整顿党风
停播	停止播放
牙防	牙病防治
访京	访问北京
计经委	计划经济委员会
长航	长江航运
南太地区	南太平洋地区
录干	录用干部
重审	重新审查
戏文系	戏剧文学系
普初	普通初中
青运史	青年运动史
人防	人民防空
农研室	农村政策研究室
台大	台湾大学
体改司	体制改革司
纪监	纪律监督
管输	管道输送
劳模	劳动模范
集游法	集会游行法
重百	重庆百货
军力	军事力量
宣导	宣传引导
仓管员	仓库管理员
安检	安全检查
公屋	公共房屋
激辩	激烈争辩
防疟	防治疟疾
国贸	国际贸易
参院	参议院
排协	排球协会
工体	北京工人体育场
自防	自身防范
福铁	福州铁路
长话	长途电话
运能	运输能力
石化厅	石油化学工业厅
妇检	妇科检查
网协	网球协会
铁五局	铁道部第五工程局
自民	自由民主
泳手	游泳选手
抽佣	抽取佣金
专储	专项储备
购股	购买股票
地空导弹	地对空导弹
红高	红色高棉
公意	公民意愿
科考队	科学考察队
军机	军事机密
心外科	心血管外科
总工会	中华全国总工会
华东师大	上海华东师范大学
矿管局	矿产资源管理局
上工	上海工业
警校	警察学校
设陷	设置陷阱
邮储	邮政储蓄
外航	外国航空公司
世运会	世界运动会
关员	海关人员
降损	降低损耗
女乒	女子乒乓球队
长管	长期管理
工发组织	联合国工业发展组织
亚乒	亚洲乒乓球
港报	香港报纸
昆虫所	昆虫研究所
触法	触犯法律
伊协	伊斯兰教协会
童军	童子军
社科系	社会科学系
校董会	学校董事会
届退	届龄退休
参编	参加编写
治太	治理太湖
吧女	酒吧女郎
滞港	滞留香港
联汇制	联系汇率制度
国际铁联	国际铁人三项联合会
牌告	挂牌公告
民贸	民族贸易
统战	统一战线
亚锦赛	亚洲锦标赛
学额	学生名额
粮价	粮食价格
财长	财政部部长
索费	索取费用
时限	时间限制
农工委	农村工作委员会
国际箭联	国际射箭联合会
65中	第65中学
国家体改委	国家经济体制改革委员会
首体	首都体育馆
音效	音响效果
交委	交通委员会
教研	教学研究
立审	立案审查
交大	交通大学
贪贿	贪污和受贿
邮运	邮政运输
劳技课	劳动技术课
月均	每月平均
年运量	年运输量
政工	思想政治工作
泳联	游泳联合会
失忆	失去记忆
研考	研究生入学考试
高专	高等专科学校
停售	停止销售
运邮	运送邮件
扩招	扩大招生
二轻局	第二轻工业局
曲联	曲棍球联合会
声学所	声学研究所
科协	科学技术协会
政争	政治斗争
解阵党	解放阵线党
社保费	社会保险费
民族宫	北京民族文化宫
空运	航空运输
特支	特别支部
普内	普通内科
教联会	香港教育工作者联会
关工委	关心下一代工作委员会
增支	增加支出
二次大战	第二次世界大战
亚举联	亚洲举重联合会
译协	翻译工作者协会
青训	青年培训
商交所	商品交易所
军控	军备控制
空爆	空中爆炸
钱江	钱塘江
公审	公开审判
羽协	羽毛球协会
夏奥会	夏季奥林匹克运动会
少儿基金会	少年儿童基金会
壁饰	墙壁装饰
女师	女子师范学校
参试	参加试验
交通量	交通流量
刑事技术	刑事科学技术
狱务	监狱事务
附小	附属小学
学具	学习用具
二机部	第二机械工业部
纪检委	纪律检查委员会
严斥	严厉斥责
农研所	农业科学研究所
高研班	高级研讨班
钢研	钢铁研究
春管	春季田间管理
普客	普通旅客列车
微生物所	微生物研究所
舞校	舞蹈学校
消保法	消费者保护法
数学所	数学研究所
老慢支	老年慢性支气管炎
镇反	镇压反革命
民乐	民族音乐
排管	排水管道
职中	职业中学
男双	男子双打
博协	博物馆协会
沈大	沈阳大学
版协	出版协会
童装	儿童服装
社盟	社会联盟
工大	工业大学
渔捞	渔业捕捞
败因	失败原因
马航	马来西亚航空公司
国际举联	国际举重联合会
环保科研所	环境保护科学研究所
世行	世界银行
二商局	第二商业局
支乡	支援家乡
成教	成人教育
联交所	香港联合交易所
受阅	接受检阅
北京体院	北京体育学院
世锦赛	世界锦标赛
金管局	香港金融管理局
联校	联合学校
组训	组织训练
农调队	农村社会经济调查队
农资	农业生产资料
城巴	城市巴士
女泳	女子游泳
拥吻	拥抱和亲吻
越战	越南战争
脱险	脱离危险
宋瓷	宋代瓷器
林科院	林业科学院
编务	编辑业务
莎剧	莎士比亚戏剧
现值	现实价值
乒协	乒乓球协会
内审	内部审计
职高生	职业高中学生
少儿社	少年儿童出版社
临客	临时旅客列车
铁三局	铁道部第三工程局
远教	远距离教育
三机部	第三机械工业部
公交	公共交通
商运	商业运输
长影	长春电影制片厂
首师大	首都师范大学
经委	经济委员会
儿艺	儿童艺术
军检	军事检察院
伊通社	伊拉克通讯社
民运会	少数民族运动会
内控	内部控制
尼共	尼泊尔共产党
东汽	东风汽车公司
协寻	协助寻找
祭仪	祭奠仪式
军体	军事体育
民管会	民主管理委员会
智残	智力残疾
林大	林业大学
普六	普及六年制义务教育
储贷	储蓄和贷款
商誉	商业信誉
大本	大学本科
剖验	解剖检验
荣军	荣誉军人
复交	恢复外交关系
基干	基层骨干
社店	出版社和书店
采标	采用国际标准和国外先进标准
高知	高级知识分子
日铁	日本铁路
产加销	生产加工销售
私烟	走私香烟
医界	医疗界
拥塞	拥挤堵塞
基社盟	基督教社会联盟
专才	专业人才
宣教部	宣传教育部
民自党	民主自由党
善信	善男信女
上交所	上海证券交易所
火电站	火力发电站
制播	制作和播出
污控司	污染控制司
车险公司	汽车保险公司
排联	排球联合会
质监	质量监督
利废	利用废物
国家工商局	国家工商行政管理局
区府	市辖区人民政府
河界	楚河汉界
证交税	证券交易税
经团联	日本经济团体联合会
共盟	共产主义者联盟
农贷	农业贷款
控温	控制温度
七运会	第七届全国运动会
北方交大	北方交通大学
珠影	珠江电影制片厂
特困	特殊困难
军管会	军事管制委员会
乒总	乒乓球总会
中纪委	中央纪律检查委员会
经适房	经济适用房
星箭	卫星和火箭
胆石	胆囊结石
解纷	解决纷争
妇工委	妇女工作委员会
潜亏	潜在亏损
黄带	黄色录像带
招委	招生委员会
安盟	争取安哥拉彻底独立全国联盟
招飞	招收飞行学员
特训	特别训练
安保部	安全保卫部
市办	市委办公室
市务	市场业务
机电署	机电工程署
执纪	执行纪律
质保	质量保证
运毒	运送毒品
物理所	物理研究所
宪警	宪兵和警察
外联处	对外联络处
游将	游泳健将
拒收	拒绝接收
药化	药物化学
铁十五局	铁道部第十五工程局
轮涨	轮番上涨
边贸	边境贸易
运管费	运输管理费
首旅	首都旅游
安莎社	安莎通讯社
经管	经济管理
波幅	波动幅度
羽总	香港羽毛球总会
射联	射击联合会
国际拳联	国际业余拳击联合会
国际手联	国际手球联合会
足校	足球学校
马岛	马尔维纳斯群岛
印尼	印度尼西亚
支铁	支援铁路建设
约通社	约旦通讯社
维园	香港维多利亚公园
粮贸	粮食贸易
评先	评选先进
产能	生产能力
货代	货物运输代理
普教	普通教育
食油	食用植物油
津沽	天津塘沽
企管处	企业管理处
尸表	尸体表面
心内科	心血管内科
节电	节约用电
无照	无牌照
南师	南京师范大学
展交会	展览交易会
国基	国家基础
妇委	妇女委员
物交会	物资交易会
展馆	展览馆
政团	政治团体
学平险	学生平安保险
韩食	韩国食品
反帝	反对帝国主义
地矿局	地质矿产局
科仪	科学仪器
欧陆	欧洲大陆
摩配	摩托车配件
篮协	篮球协会
长防林	长江防护林
工研院	工业研究院
统整	统一整合
嫌犯	嫌疑犯
上港	上海港务局
生化	生物化学
无核国	无核武器国家
矿大	矿业大学
筹资	筹集资金
流脑	流行性脑脊髓膜炎
群文	群众文化艺术
展洽会	展览洽谈会
电子局	电子工业局
补校	补习学校
经援	经济援助
规管	规划管理
彩印	彩色印刷
私宅	私人住宅
劳动人口	劳动年龄人口
建商	建筑商
街居	街道居民
职棒	职业棒球
节耗	节约能耗
铁一院	铁道部第一勘测设计院
村企	村办企业
农函大	农业函授大学
续任	继续留任
监委	监察委员会
启导	启发引导
史著	历史著作
高息	高额利息
电镜	电子显微镜
蒙通社	蒙古通讯社
环卫	环境卫生
人口老化	人口老龄化
局麻	局部麻醉
市况	市场状况
环保部	环境保护部
技协	技术协会
计财部	计划财务部
现势	现实形势
审案	审理案件
热作	热带作物
勒赎	勒索赎金
甲减	甲状腺功能减退
委培	委托培养
六运会	第六届全国运动会
投洽会	投资洽谈会
西南交大	西南交通大学
党史	党的历史
二棉	第二棉纺织厂
乡建	乡村建设
军管	军事管制
武协	武术协会
23中	第23中学
科艺	科学和艺术
业校	业余学校
考纪	考试纪律
消保会	消费者保护协会
伊航	伊拉克航空公司
举联	举重联合会
城工部	城市工作部
世局	世界局势
作代会	作家代表大会
辽吉	辽宁吉林
电联	国际电信联盟
总台	总服务台
联汇	联系汇率
合同工	合同制工人
统供	统一供应
政研室	政策研究室
专控	专项控制
农居	农转居
医科院	医学科学院
海湾合作委员会	海湾阿拉伯国家合作委员会
公惩会	公务员惩戒委员会
女单	女子单打
住房改革	住房制度改革
夏训	夏季训练
救孤	救助孤儿
技物所	技术物理研究所
检法	检察院和法院
高干	高级干部
劳动市场	劳动力市场
白兰花	白玉兰花
摘金	摘取金牌
二十二中	第二十二中学
飞安	飞行安全
抗战	抗日战争
毛选	毛泽东选集
枪匪	持枪匪徒
国际民航组织	国际民用航空组织
军训	军事训练
防保	预防保健
人口所	人口研究所
环委会	环境保护委员会
女板	女子跳板跳水
北展	北京展览馆
扫盲	扫除文盲
铁四局	铁道部第四工程局
一机部	第一机械工业部
农院	农业学院
台胞	台湾同胞
共建	共同建设
内刊	内部刊物
社科司	社会科学司
公德	公共道德
携械	携带枪械
世贸	世界贸易
美院	美术学院
迎检	迎接检查
科研	科学研究
乒联	乒乓球联合会
棉检	棉花检验
瑞航	瑞士航空公司
邮费	邮政资费
财校	财政学校
专干	专职干部
铁一局	铁道部第一工程局
增编	增加编制
擅设	擅自设置
编采	编辑采访
完小	完全小学
林管局	林业管理局
青少部	青少年部
高铁	高速铁路
厨卫	厨房卫生
债息	债券利息
附院	附属医院
社署	香港社会福利署
海测	海洋测量
史语所	历史语言研究所
女足	女子足球
农房	农民住房
共军	共产党的军队
环发大会	联合国环境与发展大会
巡讲	巡回演讲
语训	语言训练
时空	时间和空间
祖国战线	祖国统一民主主义战线
贸工	贸易和工业
治黄	治理黄河
清债	清理债务
二商	第二商业
航图	航空图
产销	生产和销售
财委会	财政委员会
航校	航空学校
海监局	海上安全监督局
川府	四川政府
上海交大	上海交通大学
增税	增加税收
汽渡	汽车轮渡
女中	女子中学
西航	西北航空公司
教科文卫委	教育科学文化卫生委员会
投运	投入运行
国际体联	国际体操联合会
保监处	保险业监理处
朝中社	朝鲜中央通讯社
黄陵	黄帝陵
控购	控制购买
综保	综合保险
菲航	菲律宾航空公司
汽摩	汽车摩托车
主控	主要控制
农经	农业经济
彩照	彩色照片
广管局	香港广播事务管理局
崇美	推崇美国
葡共体	葡语国家共同体
领海权	领海主权
纺织部	纺织工业部
花协	花卉协会
美展	美术作品展览
开行	开发银行
库管员	仓库保管员
治淮	治理淮河
乐评	音乐评论
货管	货物运输管理
施压	施加压力
男曲	男子曲棍球
支书	支部书记
税警	税务警察
汽配	汽车配件
语委	语言文字工作委员会
工厦	工业大厦
腰穿	腰椎穿刺
北大	北京大学
机修	机械修理
景瓷	景德镇瓷器
血检	血液检测
时评	时事评论
文教	文化教育
主秘	主任秘书
氧割	氧气切割
上视	上海电视台
光电所	光电技术研究所
政校	政治学校
巡展	巡回展出
体校	体育学校
安钢	安阳钢铁公司
金饰	黄金首饰
阿航	阿根廷航空公司
职安	职业安全健康
防贪	防止贪污
篮联	篮球联合会
步校	步兵学校
校纪	学校纪律
党纪	党的纪律
农电	农村用电
国际羽联	国际羽毛球联合会
金交所	金融交易所
大三生	大学三年级学生
药监	药品监督
超模	超级模特
二十中	第二十中学
央行	中央银行
巴解组织	巴勒斯坦解放组织
计财司	计划财务司
炮校	炮兵学校
乡邮	乡村邮递
联柬机构	联合国驻柬埔寨临时权力机构
静息	安静休息
冰期	冰川时期
打私	打击走私活动
管城	管理城市
东协	东南亚国家协会
共荣	共同繁荣
环保	环境保护
艰困	艰难困苦
农广校	农业广播电视学校
战训	战备训练
户政	户籍政策
行人专区	行人专用区
协拍	协助拍摄
五一节	五一国际劳动节
农高会	农业高新科技成果博览会
外事	外交事务
准购	批准购买
五交	五金交电
外文局	外文出版发行事业局
青工	青年工人
星战	星球大战
法学所	法学研究所
科国	科威特国
军援	军事援助
水科院	水利水电科学研究院
铁中	铁路中学
摩步	摩托化步兵
计生	计划生育
欧币	欧洲国家货币
上柴	上海柴油机厂
俄联邦	俄罗斯联邦
孔教	孔子教育
物耗	物资消耗
国家经委	国家经济委员会
女花	女子花剑
绿带	绿化地带
驾照	驾驶执照
冬交会	冬季交易会
群艺馆	群众艺术馆
非行	非洲开发银行
中东社	中东通讯社
高公局	高速公路管理局
卫校	卫生学校
老龄委	老龄工作委员会
空政	空军政治部
盒带	盒式录音带
环科所	环境科学研究所
民委	民族事务委员会
动检	动物检疫
民谚	民间谚语
知青	知识青年
省防指	省防汛指挥部
激光所	激光技术研究所
意航	意大利航空公司
副主委	副主任委员
国家语委	国家语言文字工作委员会
文艺界	文学艺术界
减让	减税让利
交管部门	交通管理部门
严罚	严肃处罚
工博会	工业博览会
放私	放纵走私
民曲	民间乐曲
无人机	无人驾驶飞机
亚排联	亚洲排球联合会
农地	农业用地
扩销	扩大销售
深弹	深水炸弹
海模	航海模型
能耗	能源消耗
沈后	沈阳军区后勤部
男花	男子花剑
物探	地球物理勘探
影带	录影带
文体广电局	文化体育广播电视局
社科	社会科学
议联	议员联盟
采供	采购供应
兰铁	兰州铁路
太钢	太原钢铁公司
优长	优点和长处
女双	女子双打
森防	森林防护
免刑	免予刑事处分
加榴炮	加农榴弹炮
农运	农民运动
艺校	艺术学校
农化	农业化学
林校	林业学校
责编	责任编辑
社保	社会养老保险
俄队	俄国家队
公厕	公共厕所
批建	批准建设
地学	地球科学
劳联	劳工联合会
刑庭	刑事法庭
断交	断绝外交关系
女超	女子超级
地球所	地球物理研究所
棉站	棉花收购站
共享税	中央和地方共享税
蔬果	蔬菜水果
巴航	巴基斯坦航空公司
普工	普通工人
苏杭	苏州和杭州
新地	新鸿基地产
港监	港务监督
裁委会	裁判委员会
农军	农民自卫军
地矿	地质矿产
帮贫	帮助贫困户
博导	博士生导师
机器人所	机器人研究所
英航	英国航空公司
国际棋联	国际象棋联合会
农用电	农业用电
人武	人民武装
一秘	一等秘书
宣教	宣传教育
欧空局	欧洲空间局
近物所	近代物理研究所
施袭	实施袭击
续演	继续演出
护校	护士学校
教卫	教育和卫生
中野	中原野战军
植物所	植物研究所
巴盟	内蒙古自治区巴彦淖尔盟
刑辩	刑事辩护
电感	电子感应
西语	西班牙语
联试	联合试验
冶金所	冶金研究所
自控力	自我控制力
妇救会	妇女救国会
损农	损害农民利益
节汇	节约外汇
主因	主要原因
计财处	计划财务处
彩卷	彩色胶卷
师友	老师和朋友
公捕	公开逮捕
共保	共同保护
外需	外部需求
金属所	金属研究所
苏绣	苏州刺绣
书艺	书法艺术
世经所	世界经济研究所
城郊	城市郊区
公平会	公平交易委员会
电子科大	电子科技大学
台客	台湾旅客
建工	建筑工程
上交会	上海商品交易会
招干	招聘干部
马盟	阿拉伯马格里布联盟
督查	监督检查
体院	体育学院
女垒	女子垒球
反战	反对战争
增招	增加招生
研发	研究开发
国企	国有企业
杭州艺专	杭州艺术专科学校
征期	征收期
盲协	盲人协会
声画	声音和画面
拉美	拉丁美洲
篮赛	篮球赛
空压机	空气压缩机
劳服	劳动服务
主险	主要保险
人教社	人民教育出版社
党建	党的建设
助研	助理研究员
个唱	个人演唱会
人口普查办	人口普查领导小组办公室
香港工联	香港工会联合会
安委办	安全生产委员会办公室
国际垒联	国际垒球联合会
古丝路	古代丝绸之路
五城会	第五届城市运动会
足协	足球协会
科考	科学考察
女曲	女子曲棍球队
政圈	政治圈子
补税	补交税款
棉织	棉纺织
朝军	朝鲜军队
劳教	劳动教养
职高	职业高中
农本	农业成本
观赛	观看比赛
电算	电子计算
股价	股票价格
汤杯	汤姆斯杯
民庭	民事法庭
小巴	小型巴士
初教	初等教育
体工	体育工作
修宪	修改宪法
空地导弹	空对地导弹
田管	田间管理
旅展	旅游展览
守疆	守卫边疆
五四三	五讲四美三热爱
建外	建国门外
刑释人员	刑满释放人员
上航	上海航空公司
泳技	游泳技术
机械委	机械工业委员会
统招	统一招生
重教	重视教育
西画	西洋画
财相	财政相
食监	食品卫生监督检验
纳指	纳斯达克综合指数
群管	群众管理
公铁	公路铁路
交行	交通银行
联保	联合保险
拒付	拒绝支付
公判	公开宣判
评职	评定职称
边检	边防检查
控污	控制污染
拘审	拘留审查
马列主义	马克思列宁主义
保教	保育教育
街总	街坊总会
艺大	艺术大学
水保	水土保持
盲校	盲人学校
地价	土地价格
批捕	批准逮捕
六机部	第六机械工业部
修院	修道院
开发署	联合国开发计划署
尿检	尿样检查
军妓	随军妓女
时事社	时事通讯社
语言所	语言研究所
摩协	摩托车协会
影星	电影明星
一幼	第一幼儿园
桥联	桥牌联合会
文摘	文章摘要
妇代会	妇女代表大会
摄协	摄影家协会
女团	女子团体
铁三院	铁道部第三勘测设计院
汽贸	汽车贸易公司
私企	私营企业
青干班	青年干部培训班
刑警局	刑事警察局
增销	增加销售
运贸	运输贸易
国际计生联	国际计划生育联合会
维港	维多利亚港
标售	标价出售
莫大	莫斯科大学
哈医大	哈尔滨医科大学
安保员	安全保卫人员
曲作家	词曲作家
工展会	工业展览会
餐旅	餐饮旅游
共治	共同治理
治则	治疗原则
居委会	居民委员会
台湾两岸	台湾海峡两岸
彩报	彩色报纸
突审	突击审讯
税制	税收制度
家计会	香港家庭计划指导会
海校	海军学校
特需	特殊需要
农科	农业科学
水电大	水利电力大学
营收	营业收入
官校	军官学校
商标权	商标专用权
国际网联	国际网球联合会
外销	对外销售
电建	电力建设
美航	泛美航空公司
强迁	强制迁移
残部	残余部队
煤管局	煤炭管理局
参游	参加旅游
武大	武汉大学
自贸区	自由贸易区
路警	铁路警察
城管	城市管理
女台	女子跳台跳水
早教	早期教育
从商	从事商业
节市	节日市场
天民党	天主教民主党
纠风	纠正行业不正之风
校运会	学校运动会
广电部	广播电影电视部
拒批	拒绝批准
建安公司	建筑安装公司
自协	自行车运动协会
首演	首场演出
杞忧	杞人之忧
残奥运	残疾人奥林匹克运动
影业	电影业
特教班	特殊教育班
吉大	吉林大学
鲁艺	鲁迅艺术文学院
扩灌	扩大灌溉面积
婉拒	婉言拒绝
商检	商品检验
女校	女子学校
判监	判处监禁
校委会	校务委员会
财年	财政年度
土军	土耳其军队
统检	统一检查
国际冰联	国际冰球联合会
握别	握手告别
昆腔	昆山腔
汽运公司	汽车运输公司
杜诗	杜甫的诗
体协	体育协会
药物所	药物研究所
西北师大	西北师范大学
经联社	经济联合社
台企	台湾企业
农技	农业技术
去今	去年今年
商台	商业电台
热工	热能工程
森工	森林工业
社教	社会教育
调解会	人民调解委员会
创议	创新建议
公关	公共关系
国家民委	国家民族事务委员会
话机	电话机
陆航	陆军航空兵
世界工联	世界工会联合会
全国青联	中华全国青年联合会
航母	航空母舰
建协	建筑协会
人道立场	人道主义立场
奥体	奥林匹克体育
俄航	俄罗斯航空公司
农话	农村电话
联委会	联合委员会
森警	森林警察
投建	投资建设
中院	中级人民法院
港片	香港影片
上戏	上海戏剧学院
二秘	二等秘书
北影	北京电影制片厂
外军	外国军队
经货联盟	欧洲经济货币联盟
日航	日本航空公司
参访	参观访问
义消	义务消防队
日用品	日常生活用品
股值	股票价值
尤杯	尤伯杯
植保	植物保护
共管	共同管理
垒协	垒球协会
林科所	林业科学研究所
管养	管理和养护
空战	空中作战
软件所	软件研究所
二医大	上海第二医科大学
个税	个人所得税
职校	职业学校
坚拒	坚持拒绝
公投	公民投票
牡丹卡	牡丹信用卡
严管	严格管理
医技	医疗技术
息率	利息率
军贸	军火贸易
邮市	邮票市场
棒协	棒球协会
舞协	舞蹈家协会
监销	监督销毁
粮经	粮食经济
亚冬会	亚洲冬季运动会
艺展	艺术展览
减资	减少资本
减亏	减少亏损
外联部	对外联络部
墨通社	墨西哥通讯社
医助	医生助理
高能所	高能物理研究所
南艺	南京艺术学院
高院	高级人民法院
政改	政治体制改革
台生	台湾学生
非统	非洲统一组织
粮改	粮食购销体制改革
体彩	体育彩票
沙俄	沙皇俄国
国际赛联	国际赛艇联合会
管委	管理委员会
涉老	涉及老年人
申装	申请安装
塑编	塑料编织
西安体院	西安体育学院
打防	打击和防范
计量局	标准计量局
韩商	韩国商人
国控	国家控制
花市	花卉市场
速滑	速度滑冰
和约	和平条约
抬价	抬高价格
卫片	卫星照片
企银	企业银行
商贷	商业贷款
跌势	下跌趋势
东航	东方航空公司
一战后	第一次世界大战后
驾机	驾驶飞机
应化	应用化学
规土局	规划土地局
参会	参加会议
血防	血吸虫病防治
二炼钢	第二炼钢厂
市队	市代表队
制程	制造过程
领馆	领事馆
评模	评选模范
局地	局部地区
村委	村民委员会
学运	学生运动
海科	海洋科学
港府	香港政府
建陶	建筑陶瓷
运管	运输管理
音协	音乐家协会
电大	广播电视大学
地科院	地质科学研究院
加航	加拿大航空公司
统算	统一核算
泳协	游泳协会
党工	党务工作
残协	残疾人体育协会
万国邮联	万国邮政联盟
民爆器材	民用爆破器材
欧华联会	欧洲华侨华人社团联合会
岸炮	海岸炮
教办	教育办公室
安医大	安徽医科大学
师大	师范大学
日银	日本银行
受托	接受委托
楼按	楼宇按揭
收审	收容审查
铁十六局	铁道部第十六工程局
整纪	整顿纪律
外空	外层空间
城雕	城市雕塑
社群	社会群体
阿盟	阿拉伯国家联盟
现况	现实情况
证交所	证券交易所
妇女会	妇女协会
临管	临时管理
水运	水路运输
亚俱杯	亚洲俱乐部杯
虫草	冬虫夏草
艺文	艺术文化
袭警	袭击警察
港姐	香港小姐
行止	行为举止
劳卫	劳动卫生
十五中	第十五中学
销势	销售形势
育乐	体育娱乐
丝路	丝绸之路
铁二院	铁道部第二勘测设计院
农发基金会	国际农业发展基金会
商服	商业服务业
企办	企业办公室
直客	直通旅客列车
航院	航空学院
非公经济	非公有经济
地埋	地下埋藏
特委	特别委员会
劳技	劳动和技术
生物所	生物研究所
南大	南京大学
泌乳	分泌乳汁
煤化所	煤炭化学研究所
油建	油田建设
警署	警察署
尼大	尼赫鲁大学
标煤	标准煤
市交委	市交通委员会
技校	技工学校
中戏	中央戏剧学院
省医	省立医院
一机厂	第一机械厂
炮团	炮兵团
亚姐	亚洲小姐
国统区	国民党统治区
月入	每月收入
演词	演说词
公用局	公用事业局
大体协	大学生体育协会
美工	美术工作
调温	调节温度
古史	古代历史
厂校	工厂和学校
拳赛	拳击比赛
针麻	针刺麻醉
禁映	禁止放映
财经委	财政经济委员会
基建	基本建设
刑释	刑满释放
汉译	汉语翻译
文娱	文化娱乐
菲央行	菲律宾中央银行
侦处	侦查处理
增速	增长速度
平摊	平均分摊
延安鲁艺	延安鲁迅艺术学院
联贷	联合贷款
农发基金	农村发展基金
民宗委	民族宗教委员会
脑体	脑力劳动和体力劳动
外烟	外国香烟
川航	四川航空公司
建管	建筑管理
基材	基本材料
国家商检局	国家进出口商品检验局
证管办	证券管理办公室
临建	临时建筑
专责	专门负责
个体户	个体工商户
劳改	劳动改造
电教	电化教学
国际马联	国际马术联合会
安保	安全保卫
步炮	步兵和炮兵
外贸部	对外贸易部
酒钢	酒泉钢铁公司
参训	参加训练
过境税	过境关税
统分	统一分配
瓦检员	瓦斯检测员
学工部	学生工作部
武联	武术联合会
高护	高级护士
观展	参观展览
中总	香港中华总商会
国家计生委	国家计划生育委员会
举发	检举揭发
管护	管理和保护
世卫组织	世界卫生组织
职大	职工大学
玻纤	玻璃纤维
保共	保加利亚共产党
完封	完全封锁
扩红	扩大红军
平叛	平息叛乱
美编	美术编辑
直机关	直属机关
欧航局	欧洲航天局
刑拘	刑事拘留
男网	男子网球
搜证	搜集证据
兑汇	兑换外汇
联储局	联邦储备局
黄委会	黄河水利委员会
车况	车辆状况
心搏	心脏搏动
控亏	控制亏损
实效	实际效果
大众传媒	大众传播媒介
赛题	竞赛题目
特批	特别批准
华师大	华东师范大学
律协	律师协会
幼托	幼儿入托
经院	经济学院
工疗	工人疗养院
全麻	全身麻醉
收教	收容教育
民初	民国初年
联招	联合招生
教科所	教育科学研究所
作训	作战训练
访查	访问调查
学联	学生联合会
短训班	短期培训班
精研	精心研究
债信	债务信用
花博会	花卉博览会
篮总	香港篮球总会
组设	组织设立
高检	最高人民检察院
业委会	业主委员会
委办	委员会办公室
政训	政治训练
人美	人民美术出版社
联航	联合航空公司
友协	友好协会
武星	武打明星
船舶证书	船舶检验证书
彩超	彩色B超
