生化	生物化学
手外科	手术外科
上感	上呼吸道感染
迎检	迎接检查
电讯	电子通讯
拳赛	拳击比赛
参访	参观访问
辽大	辽宁大学
初教	初等教育
劳动市场	劳动力市场
世行	世界银行
护校	护士学校
国开行	国家开发银行
土管	土地管理
男网	男子网球
运管	运输管理
自组	自己组建
经研	经济研究
空压机	空气压缩机
密报	秘密报告
哈医大	哈尔滨医科大学
肌注	肌肉注射
商经	商业经济
摩步	摩托化步兵
康梁	康有为梁启超
热工	热能工程
防保	预防保健
南农大	南京农业大学
治污	治理污染
审案	审理案件
受援	接受援助
长输	长途运输
海缆	海底电缆
上博	上海博物馆
五四三	五讲四美三热爱
调焦	调整焦距
镇反	镇压反革命
高检	最高人民检察院
社情	社会情况
特委	特别委员会
地空导弹	地对空导弹
美编	美术编辑
计财部	计划财务部
西画	西洋画
增产	增加产量
产供	生产供应
植物所	植物研究所
校纪	学校纪律
北青报	北京青年报
童军	童子军
印厂	印刷厂
南模	上海南洋模范中学
三产	第三产业
美校	美术学校
基材	基本材料
要项	重要项目
治则	治疗原则
聚赌	聚众赌博
地勘	地质勘查
中芭	中央芭蕾舞团
规管	规划管理
督查	监督检查
公汽	公共汽车
党纪	党的纪律
应化	应用化学
世青	世界青年
涉台	涉及台湾
空爆	空中爆炸
耶教	耶稣教
显效	显著效果
技改	技术改造
维港	维多利亚港
港警	香港警察
普教	普通教育
创汇	创收外汇
沈大	沈阳大学
赛果	比赛结果
证交所	证券交易所
驾机	驾驶飞机
医技	医疗技术
炮团	炮兵团
三军医大	第三军医大学
彩照	彩色照片
经合	经济合作
信保	信用保证
政研室	政策研究室
农金	农村金融
抽佣	抽取佣金
海洋所	海洋研究所
女监	女子监狱
学则	学生守则
土军	土耳其军队
时流	时代潮流
弹速	子弹速度
伊协	伊斯兰教协会
特钢	特种钢材
日银	日本银行
病检	病理检查
建外	建国门外
手拖	手扶拖拉机
胆石	胆囊结石
短训班	短期培训班
阿盟	阿拉伯国家联盟
基训	基本训练
房贴	住房补贴
邓选	邓小平文选
联交所	香港联合交易所
外空	外层空间
创利	创造利润
农技	农业技术
经援	经济援助
药物所	药物研究所
国家民委	国家民族事务委员会
首体	首都体育馆
农运	农民运动
飞安	飞行安全
墨城	墨西哥城
心搏	心脏搏动
全锦赛	全国锦标赛
内异症	子宫内膜异位症
尸解	尸体解剖
冰啤	冰镇啤酒
梅鹿	梅花鹿
优教	优秀教师
归侨	归国华侨
农经	农业经济
技监	技术监督
社教	社会教育
委贷	委托贷款
编校	编辑校对
日俘	日本战俘
