筹资	筹集资金
科考队	科学考察队
乙脑	乙型脑炎
中院	中级人民法院
上交所	上海证券交易所
党建	党的建设
显效	显著效果
教科院	教育科学研究院
普教	普通教育
浙大	浙江大学
西南交大	西南交通大学
扩招	扩大招生
内审	内部审计
农大	农业大学
教研	教学研究
商检	商品检验
治淮	治理淮河
运距	运输距离
哈医大	哈尔滨医科大学
奥体	奥林匹克体育
特困	特殊困难
引资	引进资金
引智	引进国外智力
政院	政治学院
居委会	居民委员会
植保	植物保护
深交所	深圳证券交易所
女乒	女子乒乓球队
男乒	男子乒乓球
国基	国家基础
大本	大学本科
批建	批准建设
严管	严格管理
住房改革	住房制度改革
人防	人民防空
辽沈	辽宁沈阳
华师大	华东师范大学
工美	工艺美术品
批捕	批准逮捕
经院	经济学院
执纪	执行纪律
摩步	摩托化步兵
管护	管理和保护
女团	女子团体
维港	维多利亚港
反帝	反对帝国主义
政工	思想政治工作
美展	美术作品展览
纺织部	纺织工业部
工业废物	工业固体废物
知青	知识青年
文娱	文化娱乐
排管	排水管道
附小	附属小学
婚龄	结婚年龄
国际马联	国际马术联合会
维园	香港维多利亚公园
劳保	劳动保护
判监	判处监禁
彩印	彩色印刷
农房	农民住房
临建	临时建筑
排协	排球协会
旅团	旅行团
社教	社会教育
军体	军事体育
特批	特别批准
地空导弹	地对空导弹
北京人艺	北京人民艺术剧院
地矿	地质矿产
联储局	联邦储备局
世行	世界银行
科协	科学技术协会
书艺	书法艺术
花博会	花卉博览会
作训	作战训练
受阅	接受检阅
国际棋联	国际象棋联合会
打防	打击和防范
血检	血液检测
投建	投资建设
建外	建国门外
采供	采购供应
彩照	彩色照片
川航	四川航空公司
女举	女子举重
社保费	社会保险费
增支	增加支出
车管	车辆管理
援藏	支援西藏
市务	市场业务
老龄委	老龄工作委员会
治保	治安保卫
舞美	舞台美术
台企	台湾企业
劳模	劳动模范
工效	工作效率
平叛	平息叛乱
安委办	安全生产委员会办公室
财经委	财政经济委员会
专署	专员公署
美院	美术学院
国家语委	国家语言文字工作委员会
台生	台湾学生
投洽会	投资洽谈会
巡讲	巡回演讲
联交所	香港联合交易所
合同工	合同制工人
共保	共同保护
参试	参加试验
质保	质量保证
女曲	女子曲棍球队
空地导弹	空对地导弹
学联	学生联合会
支书	支部书记
评优	评选优秀
海湾合作委员会	海湾阿拉伯国家合作委员会
艺校	艺术学校
地勘	地质勘查
投运	投入运行
工展会	工业展览会
科考	科学考察
基社盟	基督教社会联盟
女花	女子花剑
男曲	男子曲棍球
聚赌	聚众赌博
国际体联	国际体操联合会
调资	调整工资
国家防总	国家防汛抗旱总指挥部
广电部	广播电影电视部
心内科	心血管内科
纠风	纠正行业不正之风
农电	农村用电
主秘	主任秘书
长输	长途运输
北展	北京展览馆
公铁	公路铁路
帮贫	帮助贫困户
统分	统一分配
国家体改委	国家经济体制改革委员会
血防	血吸虫病防治
黄陵	黄帝陵
临客	临时旅客列车
成教	成人教育
评先	评选先进
高专	高等专科学校
香港工联	香港工会联合会
刑事技术	刑事科学技术
联招	联合招生
北影	北京电影制片厂
普九	普及九年制义务教育
外航	外国航空公司
附院	附属医院
佛协	佛教协会
国统区	国民党统治区
国控	国家控制
卫校	卫生学校
建管	建筑管理
体彩	体育彩票
林大	林业大学
国家计生委	国家计划生育委员会
长航	长江航运
全麻	全身麻醉
委培	委托培养
国际网联	国际网球联合会
游将	游泳健将
减亏	减少亏损
早教	早期教育
心外科	心血管外科
普工	普通工人
善信	善男信女
欧空局	欧洲空间局
羽协	羽毛球协会
安莎社	安莎通讯社
南师	南京师范大学
物理所	物理研究所
沈铁	沈阳铁路局
电教	电化教学
男花	男子花剑
五一节	五一国际劳动节
农运	农民运动
议联	议员联盟
技协	技术协会
西画	西洋画
政校	政治学校
短训班	短期培训班
高师	高等师范
专储	专项储备
管输	管道输送
国家工商局	国家工商行政管理局
非行	非洲开发银行
心梗	心肌梗塞
组派	组织派遣
特委	特别委员会
治黄	治理黄河
环委会	环境保护委员会
完小	完全小学
教卫	教育和卫生
工发组织	联合国工业发展组织
专干	专职干部
汤杯	汤姆斯杯
尤杯	尤伯杯
中东社	中东通讯社
协处	协助处理
轻卡	轻型卡车
电建	电力建设
万国邮联	万国邮政联盟
非统	非洲统一组织
重教	重视教育
青工	青年工人
智残	智力残疾
初教	初等教育
航校	航空学校
武协	武术协会
火电站	火力发电站
卫片	卫星照片
控申	控告申诉
国际举联	国际举重联合会
古史	古代历史
政研室	政策研究室
二汽	第二汽车制造厂
村企	村办企业
公用局	公用事业局
武联	武术联合会
国家经委	国家经济委员会
农贷	农业贷款
打私	打击走私活动
经适房	经济适用房
炮团	炮兵团
销势	销售形势
责编	责任编辑
南共体	南部非洲发展共同体
欧航局	欧洲航天局
东汽	东风汽车公司
空政	空军政治部
商贷	商业贷款
钢研	钢铁研究
北京体院	北京体育学院
亚乒	亚洲乒乓球
群艺馆	群众艺术馆
考纲	考试大纲
罗政	罗马尼亚政府
粮菜	粮食和蔬菜
联柬机构	联合国驻柬埔寨临时权力机构
农话	农村电话
拉美经委会	拉丁美洲和加勒比经济委员会
临管会	临时管理委员会
七运会	第七届全国运动会
环发大会	联合国环境与发展大会
