正选	正式选举
速测	快速检测
林院	林学院
葡共体	葡语国家共同体
领海权	领海主权
民改	民主改革
医大	医科大学
纺织部	纺织工业部
花协	花卉协会
美展	美术作品展览
司干	司局级干部
防指	防汛抗旱指挥部
开行	开发银行
库管员	仓库保管员
治淮	治理淮河
乐评	音乐评论
货管	货物运输管理
飞运	飞机运输
施压	施加压力
男曲	男子曲棍球
支书	支部书记
结防	结核病防治
职初	职业初中
税警	税务警察
汽配	汽车配件
语委	语言文字工作委员会
工厦	工业大厦
腰穿	腰椎穿刺
北大	北京大学
机修	机械修理
景瓷	景德镇瓷器
血检	血液检测
时评	时事评论
文教	文化教育
主秘	主任秘书
氧割	氧气切割
上视	上海电视台
批供	批量供应
光电所	光电技术研究所
政校	政治学校
巡展	巡回展出
体校	体育学校
安钢	安阳钢铁公司
金饰	黄金首饰
阿航	阿根廷航空公司
计生户	计划生育户
职安	职业安全健康
防贪	防止贪污
篮联	篮球联合会
步校	步兵学校
克旗	克什克腾旗
亚青赛	亚洲青年锦标赛
校纪	学校纪律
党纪	党的纪律
农电	农村用电
国际羽联	国际羽毛球联合会
金交所	金融交易所
侗民	侗族人民
大三生	大学三年级学生
组宣部	组织宣传部
药监	药品监督
超模	超级模特
二十中	第二十中学
央行	中央银行
消大	消防大队
巴解组织	巴勒斯坦解放组织
计财司	计划财务司
炮校	炮兵学校
南队	南斯拉夫队
乡邮	乡村邮递
联柬机构	联合国驻柬埔寨临时权力机构
静息	安静休息
冰期	冰川时期
打私	打击走私活动
管城	管理城市
东协	东南亚国家协会
共荣	共同繁荣
环保	环境保护
艰困	艰难困苦
农广校	农业广播电视学校
临屋	临时房屋
战训	战备训练
户政	户籍政策
行人专区	行人专用区
协拍	协助拍摄
国新社	国际新闻社
五一节	五一国际劳动节
农高会	农业高新科技成果博览会
外事	外交事务
外经	对外经济
准购	批准购买
五交	五金交电
外文局	外文出版发行事业局
社劳青	社会主义劳动青年同盟
青工	青年工人
星战	星球大战
法学所	法学研究所
科国	科威特国
军援	军事援助
水科院	水利水电科学研究院
铁中	铁路中学
质控	质量控制
摩步	摩托化步兵
计生	计划生育
转风	转变作风
尿感	尿路感染
欧币	欧洲国家货币
上柴	上海柴油机厂
俄联邦	俄罗斯联邦
供市	供应市场
施才	施展才能
体语	身体语言
孔教	孔子教育
物耗	物资消耗
特使	特命全权大使
冰协	冰球协会
国家经委	国家经济委员会
女花	女子花剑
绿带	绿化地带
驾照	驾驶执照
冬交会	冬季交易会
港大	香港大学
群艺馆	群众艺术馆
退管	退休职工管理
非行	非洲开发银行
中东社	中东通讯社
高公局	高速公路管理局
卫校	卫生学校
世羽赛	世界羽毛球锦标赛
老龄委	老龄工作委员会
立局	立法局
环发	环境与发展
农技协	农业技术协会
空政	空军政治部
盒带	盒式录音带
环科所	环境科学研究所
节资	节约资金
民委	民族事务委员会
动检	动物检疫
民谚	民间谚语
知青	知识青年
省防指	省防汛指挥部
激光所	激光技术研究所
意航	意大利航空公司
副主委	副主任委员
国家语委	国家语言文字工作委员会
文艺界	文学艺术界
减让	减税让利
交管部门	交通管理部门
严罚	严肃处罚
工博会	工业博览会
放私	放纵走私
民曲	民间乐曲
无人机	无人驾驶飞机
亚排联	亚洲排球联合会
农地	农业用地
扩销	扩大销售
深弹	深水炸弹
海模	航海模型
能耗	能源消耗
沈后	沈阳军区后勤部
川大	四川大学
男花	男子花剑
港客	香港客商
物探	地球物理勘探
影带	录影带
文体广电局	文化体育广播电视局
手协	手球协会
社科	社会科学
议联	议员联盟
采供	采购供应
兰铁	兰州铁路
内销	国内销售
太钢	太原钢铁公司
优长	优点和长处
女双	女子双打
森防	森林防护
免刑	免予刑事处分
加榴炮	加农榴弹炮
加幅	增加幅度
农运	农民运动
医工	医务工作者
艺校	艺术学校
工企	工业企业
农化	农业化学
林校	林业学校
责编	责任编辑
社保	社会养老保险
钢院	钢铁学院
航联	航空联合会
俄队	俄国家队
损减	损失减少
公厕	公共厕所
批建	批准建设
湿控	湿度控制
地学	地球科学
上昆	上海昆剧团
劳联	劳工联合会
毛著	毛泽东著作
军需所	军需装备研究所
刑庭	刑事法庭
断交	断绝外交关系
尤杯赛	尤伯杯赛
女超	女子超级
南华会	香港南华体育会
地球所	地球物理研究所
私财	私人财产
亚网联	亚洲网球联合会
磨耗	磨损消耗
棉站	棉花收购站
共享税	中央和地方共享税
蔬果	蔬菜水果
巴航	巴基斯坦航空公司
长委	长江水利委员会
普工	普通工人
苏杭	苏州和杭州
新地	新鸿基地产
港监	港务监督
高教委	高等教育委员会
空距	空中距离
裁委会	裁判委员会
植棉	种植棉花
拳协	拳击协会
临委会	临时委员会
农军	农民自卫军
地矿	地质矿产
帮贫	帮助贫困户
复关	恢复关贸总协定缔约国地位
掌珠	掌上明珠
博导	博士生导师
余资	剩余资金
机器人所	机器人研究所
英航	英国航空公司
护产	保护财产
国际棋联	国际象棋联合会
农用电	农业用电
人武	人民武装
一秘	一等秘书
宣教	宣传教育
欧空局	欧洲空间局
内资	国内资本
近物所	近代物理研究所
施袭	实施袭击
续演	继续演出
护校	护士学校
教卫	教育和卫生
中野	中原野战军
植物所	植物研究所
文卫体	文化卫生体育
巴盟	内蒙古自治区巴彦淖尔盟
刑辩	刑事辩护
电感	电子感应
西语	西班牙语
县干	县级干部
联试	联合试验
冶金所	冶金研究所
自控力	自我控制力
清财	清理财产
炮指	炮兵指挥部
妇救会	妇女救国会
损农	损害农民利益
节汇	节约外汇
主因	主要原因
计财处	计划财务处
彩卷	彩色胶卷
环情	环境情况
师友	老师和朋友
公捕	公开逮捕
共保	共同保护
外需	外部需求
临快	临时快车
金属所	金属研究所
苏绣	苏州刺绣
书艺	书法艺术
世经所	世界经济研究所
城郊	城市郊区
七纵	第七纵队
公平会	公平交易委员会
电子科大	电子科技大学
台客	台湾旅客
建工	建筑工程
上交会	上海商品交易会
深大	深圳大学
全教会	全国教育工作会议
伊阵	伊斯兰拯救阵线
耶教	耶稣教
招干	招聘干部
马盟	阿拉伯马格里布联盟
督查	监督检查
体院	体育学院
女垒	女子垒球
反战	反对战争
增招	增加招生
研发	研究开发
国企	国有企业
杭州艺专	杭州艺术专科学校
征期	征收期
盲协	盲人协会
海委会	政府间海洋学委员会
尸解	尸体解剖
声画	声音和画面
海院	航海学院
拉美	拉丁美洲
篮赛	篮球赛
要角	重要角色
空压机	空气压缩机
亚田联	亚洲田径联合会
劳服	劳动服务
劳大	全国劳动大会
主险	主要保险
人教社	人民教育出版社
党建	党的建设
助研	助理研究员
个唱	个人演唱会
人口普查办	人口普查领导小组办公室
香港工联	香港工会联合会
教院	教育学院
艺院	艺术学院
化武	化学武器
安委办	安全生产委员会办公室
国际垒联	国际垒球联合会
古丝路	古代丝绸之路
全委	全国委员会
流资	流动资金
五城会	第五届城市运动会
足协	足球协会
科考	科学考察
女曲	女子曲棍球队
政圈	政治圈子
补税	补交税款
棉织	棉纺织
舰院	舰艇学院
春招	春季招生
手拖	手扶拖拉机
朝军	朝鲜军队
劳教	劳动教养
职高	职业高中
农本	农业成本
观赛	观看比赛
电算	电子计算
欧行	欧洲之行
春考	春季考试
修律	修订法律
剑校	击剑学校
上芭	上海芭蕾舞团
八办	八路军办事处
股价	股票价格
汤杯	汤姆斯杯
民庭	民事法庭
小巴	小型巴士
下议员	下议院议员
初教	初等教育
体工	体育工作
修宪	修改宪法
经研	经济研究
空地导弹	空对地导弹
田管	田间管理
旅展	旅游展览
守疆	守卫边疆
软交会	软件交易会
教文	教育和文化
五四三	五讲四美三热爱
建外	建国门外
组工	组织工作
刑释人员	刑满释放人员
上航	上海航空公司
老协	老年人协会
泳技	游泳技术
机械委	机械工业委员会
统招	统一招生
重教	重视教育
农中	农业中学
西画	西洋画
少足	少年足球
财相	财政相
食监	食品卫生监督检验
纳指	纳斯达克综合指数
群管	群众管理
公铁	公路铁路
交行	交通银行
联保	联合保险
治贪	惩治贪污
拒付	拒绝支付
网膜	视网膜
公判	公开宣判
评职	评定职称
边检	边防检查
控污	控制污染
市宫	市工人文化宫
拘审	拘留审查
马列主义	马克思列宁主义
保教	保育教育
四机部	第四机械工业部
政指	政治指导员
收证	收集证据
街总	街坊总会
艺大	艺术大学
水保	水土保持
西农大	西北农业大学
盲校	盲人学校
地价	土地价格
红中社	红色中华通讯社
批捕	批准逮捕
经合	经济合作
六机部	第六机械工业部
轻汽	轻型汽车
抗改	抗拒改造
修院	修道院
开发署	联合国开发计划署
安控	安全控制
尿检	尿样检查
军妓	随军妓女
艺创	艺术创作
时事社	时事通讯社
语言所	语言研究所
摩协	摩托车协会
影星	电影明星
一幼	第一幼儿园
中委	中央委员
