筹资	筹集资金
运能	运输能力
超模	超级模特
空压机	空气压缩机
工总	工业总会
能耗	能源消耗
体校	体育学校
西航	西北航空公司
公校	公办学校
亚姐	亚洲小姐
战训	战备训练
高息	高额利息
语言所	语言研究所
抬价	抬高价格
中委	中央委员
安盟	争取安哥拉彻底独立全国联盟
规管	规划管理
技校	技工学校
飞行队	飞行服务队
大众传媒	大众传播媒介
陆航	陆军航空兵
电大	广播电视大学
南太地区	南太平洋地区
上海交大	上海交通大学
援藏	支援西藏
俄联邦	俄罗斯联邦
体工	体育工作
国际羽联	国际羽毛球联合会
呼市	呼和浩特市
台胞	台湾同胞
台客	台湾旅客
师专	师范专科学校
钱江	钱塘江
北师大	北京师范大学
参会	参加会议
城管	城市管理
非公经济	非公有经济
标煤	标准煤
技改	技术改造
博导	博士生导师
体院	体育学院
统测	统一测试
首师大	首都师范大学
民乐	民族音乐
运管	运输管理
委办	委员会办公室
统招	统一招生
政工	思想政治工作
辽大	辽宁大学
特需	特殊需要
交管部门	交通管理部门
地勘	地质勘查
治污	治理污染
工体	北京工人体育场
建工	建筑工程
私企	私营企业
交行	交通银行
田管	田间管理
足校	足球学校
计生	计划生育
工博会	工业博览会
北邮	北京邮电大学
批捕	批准逮捕
纪检委	纪律检查委员会
法学所	法学研究所
经适房	经济适用房
公交	公共交通
国家民委	国家民族事务委员会
经委	经济委员会
温控	温度控制
亚冬会	亚洲冬季运动会
全国青联	中华全国青年联合会
巡展	巡回展出
科考队	科学考察队
乙脑	乙型脑炎
中院	中级人民法院
上交所	上海证券交易所
党建	党的建设
显效	显著效果
教科院	教育科学研究院
普教	普通教育
浙大	浙江大学
西南交大	西南交通大学
扩招	扩大招生
内审	内部审计
助研	助理研究员
农大	农业大学
商检	商品检验
财经委	财政经济委员会
治淮	治理淮河
黄委会	黄河水利委员会
运距	运输距离
哈医大	哈尔滨医科大学
奥体	奥林匹克体育
特困	特殊困难
引资	引进资金
引智	引进国外智力
政院	政治学院
居委会	居民委员会
植保	植物保护
太钢	太原钢铁公司
联汇	联系汇率
深交所	深圳证券交易所
女乒	女子乒乓球队
男乒	男子乒乓球
国基	国家基础
大本	大学本科
参赌	参加赌博
批建	批准建设
严管	严格管理
住房改革	住房制度改革
人防	人民防空
辽沈	辽宁沈阳
华师大	华东师范大学
工美	工艺美术品
经院	经济学院
外经	对外经济
执纪	执行纪律
环发	环境与发展
摩步	摩托化步兵
伊协	伊斯兰教协会
管护	管理和保护
女团	女子团体
反帝	反对帝国主义
美展	美术作品展览
纺织部	纺织工业部
工业废物	工业固体废物
知青	知识青年
文娱	文化娱乐
世行	世界银行
排管	排水管道
附小	附属小学
牙防	牙病防治
婚龄	结婚年龄
国际马联	国际马术联合会
维园	香港维多利亚公园
劳保	劳动保护
判监	判处监禁
彩印	彩色印刷
农房	农民住房
临建	临时建筑
排协	排球协会
旅团	旅行团
社教	社会教育
农运	农民运动
军体	军事体育
特批	特别批准
上戏	上海戏剧学院
地空导弹	地对空导弹
清大	台湾清华大学
北京人艺	北京人民艺术剧院
地矿	地质矿产
花博会	花卉博览会
联储局	联邦储备局
书艺	书法艺术
艺展	艺术展览
作训	作战训练
受阅	接受检阅
国际棋联	国际象棋联合会
打防	打击和防范
实控线	实际控制线
血检	血液检测
投建	投资建设
建外	建国门外
行政庭	行政审判庭
采供	采购供应
彩照	彩色照片
川航	四川航空公司
女举	女子举重
客量	客流量
社保费	社会保险费
增支	增加支出
吉化	吉林化学工业公司
车管	车辆管理
市务	市场业务
社署	香港社会福利署
老龄委	老龄工作委员会
治保	治安保卫
舞美	舞台美术
锡盟	锡林郭勒盟
台企	台湾企业
煤炭部	煤炭工业部
劳模	劳动模范
沈大	沈阳大学
工效	工作效率
平叛	平息叛乱
女柔	女子柔道
台生	台湾学生
国开行	国家开发银行
安委办	安全生产委员会办公室
专署	专员公署
美院	美术学院
国家语委	国家语言文字工作委员会
投洽会	投资洽谈会
巡讲	巡回演讲
联交所	香港联合交易所
合同工	合同制工人
共保	共同保护
参试	参加试验
质保	质量保证
女曲	女子曲棍球队
男花	男子花剑
空地导弹	空对地导弹
学联	学生联合会
支书	支部书记
刑事技术	刑事科学技术
统供	统一供应
评优	评选优秀
海湾合作委员会	海湾阿拉伯国家合作委员会
艺校	艺术学校
投运	投入运行
工展会	工业展览会
组工	组织工作
防贪	防止贪污
军检	军事检察院
科考	科学考察
基社盟	基督教社会联盟
女花	女子花剑
男曲	男子曲棍球
防指	防汛抗旱指挥部
聚赌	聚众赌博
世俱杯	世界俱乐部杯
体彩	体育彩票
国际体联	国际体操联合会
青协	青年协会
调资	调整工资
广电部	广播电影电视部
心内科	心血管内科
纠风	纠正行业不正之风
农电	农村用电
主秘	主任秘书
长输	长途运输
北展	北京展览馆
科仪	科学仪器
公铁	公路铁路
语训	语言训练
责编	责任编辑
帮贫	帮助贫困户
劳服	劳动服务
统分	统一分配
国家体改委	国家经济体制改革委员会
交委	交通委员会
楼按	楼宇按揭
钢研	钢铁研究
血防	血吸虫病防治
黄陵	黄帝陵
临客	临时旅客列车
街总	街坊总会
成教	成人教育
赤几	赤道几内亚
评先	评选先进
高专	高等专科学校
香港工联	香港工会联合会
文保	文物保护
临委会	临时委员会
联招	联合招生
北影	北京电影制片厂
非行	非洲开发银行
普九	普及九年制义务教育
外航	外国航空公司
附院	附属医院
佛协	佛教协会
国家经委	国家经济委员会
国统区	国民党统治区
国控	国家控制
卫校	卫生学校
邮市	邮票市场
建管	建筑管理
首体	首都体育馆
林大	林业大学
国家计生委	国家计划生育委员会
长航	长江航运
收审	收容审查
北体	北京体育大学
毛选	毛泽东选集
全麻	全身麻醉
委培	委托培养
全教会	全国教育工作会议
国际网联	国际网球联合会
流脑	流行性脑脊髓膜炎
游将	游泳健将
重百	重庆百货
减亏	减少亏损
早教	早期教育
心外科	心血管外科
菲央行	菲律宾中央银行
刑警局	刑事警察局
普工	普通工人
善信	善男信女
牡丹卡	牡丹信用卡
欧空局	欧洲空间局
美编	美术编辑
防保	预防保健
羽协	羽毛球协会
植检	植物检疫
安莎社	安莎通讯社
春管	春季田间管理
南师	南京师范大学
南艺	南京艺术学院
物理所	物理研究所
沈铁	沈阳铁路局
电教	电化教学
五一节	五一国际劳动节
议联	议员联盟
技协	技术协会
西画	西洋画
直机关	直属机关
治则	治疗原则
政校	政治学校
短训班	短期培训班
高师	高等师范
专储	专项储备
中芭	中央芭蕾舞团
管输	管道输送
管城	管理城市
国家工商局	国家工商行政管理局
林管局	林业管理局
农广校	农业广播电视学校
心梗	心肌梗塞
组派	组织派遣
武联	武术联合会
特委	特别委员会
控申	控告申诉
玻纤	玻璃纤维
治黄	治理黄河
环委会	环境保护委员会
采标	采用国际标准和国外先进标准
完小	完全小学
教卫	教育和卫生
工发组织	联合国工业发展组织
专干	专职干部
尤杯	尤伯杯
中东社	中东通讯社
省防指	省防汛指挥部
协处	协助处理
职中	职业中学
东汽	东风汽车公司
轻卡	轻型卡车
人教社	人民教育出版社
欧航局	欧洲航天局
直资	直接资助
电建	电力建设
万国邮联	万国邮政联盟
私烟	走私香烟
欧华联会	欧洲华侨华人社团联合会
非统	非洲统一组织
重教	重视教育
哈军工	哈尔滨军事工程学院
青工	青年工人
智残	智力残疾
推普	推广普通话
初教	初等教育
航校	航空学校
女台	女子跳台跳水
财困	财政困难
建陶	建筑陶瓷
云大	云南大学
武协	武术协会
保教	保育教育
朝军	朝鲜军队
火电站	火力发电站
卫片	卫星照片
国际举联	国际举重联合会
亚乒	亚洲乒乓球
古史	古代历史
政研室	政策研究室
南侨	南洋华侨
二汽	第二汽车制造厂
村企	村办企业
公用局	公用事业局
商服	商业服务业
农贷	农业贷款
打私	打击走私活动
数学所	数学研究所
炮团	炮兵团
世运会	世界运动会
销势	销售形势
考纲	考试大纲
南共体	南部非洲发展共同体
军转工作	军队转业干部安置工作
治太	治理太湖
举协	举重协会
空政	空军政治部
高能所	高能物理研究所
商贷	商业贷款
创演	创作和演出
桥联	桥牌联合会
国际冰联	国际冰球联合会
博协	博物馆协会
五交	五金交电
农险	农业保险
北京体院	北京体育学院
中运会	中学生运动会
航院	航空学院
热作	热带作物
群艺馆	群众艺术馆
展交会	展览交易会
罗政	罗马尼亚政府
粮菜	粮食和蔬菜
联柬机构	联合国驻柬埔寨临时权力机构
农话	农村电话
临管会	临时管理委员会
拉美经委会	拉丁美洲和加勒比经济委员会
长防林	长江防护林
七运会	第七届全国运动会
环发大会	联合国环境与发展大会
马盟	阿拉伯马格里布联盟
跳雪	跳台滑雪
世羽赛	世界羽毛球锦标赛
伊阵	伊斯兰拯救阵线
