short_form,short_count,long_form,long_count,short_long_ratio
乔峰,64,乔戈里峰,371,0.1725067385444744
乙脑,478,乙型脑炎,216,2.212962962962963
乡建,1419,乡村建设,281,5.049822064056939
乡邮,182,乡村邮递,37,4.918918918918919
书家,700,书法家,4942,0.141643059490085
书艺,355,书法艺术,1941,0.18289541473467288
书赛,57,书法比赛,177,0.3220338983050847
二产,605,第二产业,3243,0.18655565834104224
二商,100,第二商业,12,8.333333333333334
二外,516,第二外国语学院,289,1.7854671280276817
二棉,46,第二棉纺织厂,37,1.2432432432432432
二毛,428,第二毛纺织厂,93,4.602150537634409
二汽,419,第二汽车制造厂,160,2.61875
二秘,233,二等秘书,144,1.6180555555555556
云大,1106,云南大学,1107,0.999096657633243
五交,252,五金交电,135,1.8666666666666667
亚乒,507,亚洲乒乓球,259,1.9575289575289576
亚姐,298,亚洲小姐,214,1.3925233644859814
亚青,1144,亚洲青年,1165,0.9819742489270388
交大,13821,交通大学,3139,4.402994584262504
交委,1819,交通委员会,401,4.5361596009975065
交行,20305,交通银行,7439,2.7295335394542275
产供,1502,生产供应,1274,1.1789638932496076
产能,35252,生产能力,21487,1.6406199097128495
产销,19458,生产和销售,2758,7.055112400290065
产需,1407,生产需求,187,7.524064171122995
人医,2975,人民医院,16828,0.1767886855241265
人大,212985,人民代表大会,29685,7.174835775644265
人委,1986,人民委员会,833,2.3841536614645857
人普,2553,人口普查,9339,0.27336973980083523
人武,12275,人民武装,2597,4.7266076241817485
人美,1407,人民美术出版社,301,4.674418604651163
人防,4489,人民防空,867,5.17762399077278
从商,3401,从事商业,588,5.784013605442177
价改,1886,价格改革,3779,0.4990738290553056
企办,33,企业办公室,55,0.6
企务,52,企业事务,137,0.3795620437956204
企协,196,企业家协会,937,0.20917822838847383
企财,133,企业财产,402,0.3308457711442786
企银,53,企业银行,345,0.1536231884057971
伊协,568,伊斯兰教协会,1018,0.5579567779960707
伊航,128,伊拉克航空公司,73,1.7534246575342465
伊阵,198,伊斯兰拯救阵线,132,1.5
伏休,75,伏季休渔,519,0.14450867052023122
众院,6865,众议院,30271,0.22678471143999207
优分,27,优先分配,64,0.421875
优品,441,优质产品,1448,0.30455801104972374
优长,670,优点和长处,93,7.204301075268817
体事,3762,体育赛事,4652,0.8086844368013758
体健,4174,身体健康,11315,0.3688908528501989
体协,9299,体育协会,2339,3.9756306113723814
体工,13919,体育工作,3023,4.604366523321204
体彩,2632,体育彩票,1857,1.4173397953688744
体校,3834,体育学校,385,9.958441558441558
体模,864,人体模型,124,6.967741935483871
体疗,123,体育医疗,45,2.7333333333333334
体语,927,身体语言,174,5.327586206896552
体院,1732,体育学院,2698,0.6419570051890289
余资,1173,剩余资金,265,4.426415094339623
佛协,477,佛教协会,2486,0.1918744971842317
作训,2217,作战训练,1130,1.9619469026548673
佳市,114,佳木斯市,1054,0.1081593927893738
例验,12,例行检验,17,0.7058823529411765
侗民,36,侗族人民,25,1.44
供市,1430,供应市场,557,2.567324955116697
侦处,48,侦查处理,20,2.4
侦技,42,侦察技术,64,0.65625
俄商,268,俄罗斯商人,237,1.130801687763713
俄航,1492,俄罗斯航空公司,179,8.335195530726256
俄队,152,俄国家队,34,4.470588235294118
保共,196,保加利亚共产党,30,6.533333333333333
保教,983,保育教育,110,8.936363636363636
保盟,29,保卫中国同盟,57,0.5087719298245614
保队,359,保加利亚队,2546,0.14100549882168106
信资,685,信托投资,797,0.8594730238393977
修宪,4371,修改宪法,2794,1.5644237652111668
修律,14,修订法律,82,0.17073170731707318
修院,218,修道院,824,0.2645631067961165
债信,1086,债务信用,116,9.362068965517242
债息,118,债券利息,218,0.5412844036697247
停售,1815,停止销售,1136,1.5977112676056338
停捕,46,停止捕捞,23,2
停播,1181,停止播放,125,9.448
停检,38,停车检查,111,0.34234234234234234
健检,364,健康检查,1993,0.1826392373306573
储种,48,储蓄种类,19,2.526315789473684
储贷,93,储蓄和贷款,26,3.576923076923077
僚气,45,官僚习气,90,0.5
儿艺,994,儿童艺术,943,1.0540827147401908
儿麻,883,小儿麻痹症,1162,0.7598967297762479
克旗,511,克什克腾旗,302,1.6920529801324504
免刑,445,免予刑事处分,54,8.24074074074074
免诉,166,免予起诉,178,0.9325842696629212
兑汇,1012,兑换外汇,102,9.92156862745098
党史,6543,党的历史,1605,4.076635514018691
党工,3175,党务工作,1544,2.0563471502590676
党建,15227,党的建设,18509,0.822680857960992
党纪,11386,党的纪律,1959,5.812149055640633
全委,3887,全国委员会,9536,0.40761325503355705
全麻,225,全身麻醉,200,1.125
八办,47,八路军办事处,140,0.3357142857142857
公交,49118,公共交通,12680,3.873659305993691
公关,12216,公共关系,2212,5.522603978300181
公判,277,公开宣判,1420,0.19507042253521129
公厕,4302,公共厕所,1029,4.180758017492711
公审,488,公开审判,780,0.6256410256410256
公屋,1769,公共房屋,352,5.025568181818182
公德,3303,公共道德,348,9.491379310344827
公意,100,公民意愿,16,6.25
公投,22677,公民投票,3786,5.989698890649763
公捕,146,公开逮捕,67,2.1791044776119404
公校,289,公办学校,2389,0.12097111762243616
公益,53287,公共利益,6768,7.873374704491725
公铁,444,公路铁路,320,1.3875
兰铁,428,兰州铁路,727,0.5887207702888583
共保,935,共同保护,501,1.8662674650698603
共军,275,共产党的军队,29,9.482758620689657
共市,74,欧洲共同市场,35,2.1142857142857143
共建,22980,共同建设,2629,8.740966146823887
共治,1207,共同治理,215,5.613953488372093
共盟,26,共产主义者联盟,30,0.8666666666666667
共管,8606,共同管理,882,9.757369614512472
共荣,1562,共同繁荣,9491,0.16457696765356652
共集,349,共同筹集,90,3.8777777777777778
关员,1958,海关人员,1936,1.0113636363636365
关检,1621,海关检查,317,5.113564668769716
兵总,679,兵器工业总公司,148,4.587837837837838
养教,640,培养教育,626,1.022364217252396
内刊,173,内部刊物,169,1.0236686390532543
内处,1080,内部处理,182,5.934065934065934
内审,726,内部审计,736,0.9864130434782608
内控,2760,内部控制,1984,1.3911290322580645
内潜,229,内部潜力,260,0.8807692307692307
内资,6779,国内资本,689,9.838896952104498
内销,5432,国内销售,1062,5.114877589453861
再障,50,再生障碍性贫血,346,0.14450867052023122
军体,2195,军事体育,601,3.652246256239601
军力,5394,军事力量,5437,0.992091226779474
军基,18176,军事基地,10168,1.7875688434303698
军妓,133,随军妓女,82,1.6219512195121952
军婚,56,军人婚姻,30,1.8666666666666667
军干,929,军队干部,871,1.0665901262916189
军情,4570,军事情报,1393,3.280689160086145
军报,2247,解放军报,4150,0.5414457831325301
军控,3504,军备控制,709,4.942172073342737
军援,643,军事援助,1523,0.4221930400525279
军机,3634,军事机密,479,7.586638830897703
军检,754,军事检察院,347,2.1729106628242074
军管,381,军事管制,293,1.3003412969283277
军训,5956,军事训练,16239,0.3667713529158199
军贸,192,军火贸易,256,0.75
农中,226,农业中学,25,9.04
农军,182,农民自卫军,55,3.309090909090909
农办,483,农业办公室,55,8.781818181818181
农化,413,农业化学,98,4.214285714285714
农地,1737,农业用地,474,3.664556962025317
农大,1720,农业大学,7021,0.24497934767127189
农居,223,农转居,83,2.6867469879518073
农广,21,农业广播,96,0.21875
农房,1985,农民住房,320,6.203125
农技,4977,农业技术,5997,0.8299149574787393
农投,105,农业投资,985,0.1065989847715736
农改,100,农业改革,432,0.23148148148148148
农本,133,农业成本,70,1.9
农电,857,农村用电,360,2.3805555555555555
农科,6872,农业科学,2882,2.3844552394170715
农经,1177,农业经济,2201,0.5347569286687869
农话,234,农村电话,356,0.6573033707865169
农贷,850,农业贷款,939,0.9052183173588924
农资,12388,农业生产资料,2282,5.428571428571429
农运,3874,农民运动,1625,2.384
农院,42,农业学院,52,0.8076923076923077
农险,527,农业保险,2515,0.2095427435387674
冰协,240,冰球协会,252,0.9523809523809524
冰啤,49,冰镇啤酒,51,0.9607843137254902
冰期,653,冰川时期,76,8.592105263157896
冰联,244,冰球联合会,41,5.951219512195122
准购,473,批准购买,48,9.854166666666666
减亏,2286,减少亏损,237,9.645569620253164
减让,633,减税让利,167,3.7904191616766463
减资,352,减少资本,101,3.485148514851485
函大,147,函授大学,191,0.7696335078534031
分获,15002,分别获得,7481,2.005346878759524
切宫,14,切除子宫,96,0.14583333333333334
刑侦,5349,刑事侦查,673,7.947994056463596
刑庭,1042,刑事法庭,2144,0.48600746268656714
刑拘,3049,刑事拘留,7399,0.4120827138802541
刑案,2414,刑事案件,10466,0.2306516338620294
刑辩,177,刑事辩护,227,0.7797356828193832
刑释,199,刑满释放,1063,0.187206020696143
创演,145,创作和演出,181,0.8011049723756906
创议,78,创新建议,18,4.333333333333333
初小,217,初级小学,29,7.482758620689655
初教,417,初等教育,585,0.7128205128205128
判监,1753,判处监禁,220,7.968181818181818
利废,171,利用废物,25,6.84
制播,488,制作和播出,78,6.256410256410256
制程,902,制造过程,446,2.022421524663677
前指,4080,前线指挥部,1034,3.9458413926499034
剑校,35,击剑学校,12,2.9166666666666665
剖验,159,解剖检验,111,1.4324324324324325
剧评,267,戏剧评论,118,2.26271186440678
办展,1292,举办展览,841,1.536266349583829
加姐,17,加拿大小姐,36,0.4722222222222222
加幅,656,增加幅度,703,0.9331436699857752
加航,1326,加拿大航空公司,222,5.972972972972973
劣品,45,劣质商品,146,0.3082191780821918
动检,1350,动物检疫,409,3.3007334963325183
动源,172,动力源,1047,0.1642788920725883
助查,1099,协助调查,1920,0.5723958333333333
助研,595,助理研究员,499,1.192384769539078
助编,77,助理编辑,57,1.350877192982456
劳保,1001,劳动保护,1329,0.7531978931527464
劳卫,17,劳动卫生,82,0.2073170731707317
劳大,81,全国劳动大会,49,1.653061224489796
劳技,71,劳动和技术,12,5.916666666666667
劳改,1147,劳动改造,312,3.676282051282051
劳教,4198,劳动教养,1168,3.594178082191781
劳服,164,劳动服务,546,0.30036630036630035
劳模,7821,劳动模范,6492,1.204713493530499
劳联,119,劳工联合会,66,1.803030303030303
劳防,27,劳动防护,172,0.1569767441860465
勒赎,179,勒索赎金,219,0.817351598173516
包商,880,承包商,4403,0.199863729275494
化奥,282,化学奥林匹克竞赛,63,4.476190476190476
化废,100,化学废物,29,3.4482758620689653
化救,247,化学事故应急救援,34,7.264705882352941
化武,2029,化学武器,5723,0.35453433513891314
化脑,16,化脓性脑膜炎,13,1.2307692307692308
北体,840,北京体育大学,1607,0.522713130056005
北大,47021,北京大学,29352,1.60196920141728
北展,486,北京展览馆,812,0.5985221674876847
北影,299,北京电影制片厂,180,1.6611111111111112
北昆,121,北方昆曲,134,0.9029850746268656
北视,54,北京电视艺术中心,64,0.84375
北邮,196,北京邮电大学,813,0.24108241082410825
区府,140,市辖区人民政府,51,2.7450980392156863
医助,66,医生助理,36,1.8333333333333333
医协,142,医学协会,294,0.48299319727891155
医大,1399,医科大学,5947,0.23524466117370105
医工,434,医务工作者,2146,0.2022367194780988
医技,494,医疗技术,2214,0.2231255645889792
医界,962,医疗界,491,1.959266802443992
医研,1098,医学研究,4654,0.23592608508809623
十届,17942,第十届,11300,1.587787610619469
协处,181,协助处理,685,0.26423357664233577
协寻,214,协助寻找,175,1.2228571428571429
协拍,34,协助拍摄,53,0.6415094339622641
南侨,482,南洋华侨,125,3.856
南大,22259,南京大学,4658,4.778660369257192
南师,3445,南京师范大学,923,3.732394366197183
南艺,658,南京艺术学院,268,2.455223880597015
南队,8175,南斯拉夫队,2154,3.795264623955432
博协,233,博物馆协会,384,0.6067708333333334
博导,1515,博士生导师,3889,0.3895602982771921
卫技,119,卫生技术,1010,0.11782178217821782
卫校,393,卫生学校,310,1.267741935483871
卫片,455,卫星照片,617,0.7374392220421394
印尼,95758,印度尼西亚,26619,3.5973552725496827
印报,236,印度报纸,91,2.5934065934065935
厂校,83,工厂和学校,20,4.15
厦大,1330,厦门大学,4234,0.3141237600377893
厨卫,420,厨房卫生,60,7
去今,99,去年今年,14,7.071428571428571
县干,871,县级干部,529,1.6465028355387523
县府,1818,县人民政府,2610,0.696551724137931
参会,10784,参加会议,7431,1.4512178710806083
参拍,221,参加拍摄,87,2.5402298850574714
参游,42,参加旅游,206,0.20388349514563103
参演,8345,参加演出,1355,6.158671586715867
参编,104,参加编写,49,2.122448979591837
参训,2632,参加训练,1436,1.8328690807799444
参访,7447,参观访问,3777,1.9716706380725444
参试,586,参加试验,166,3.5301204819277108
参赌,1058,参加赌博,110,9.61818181818182
参院,7463,参议院,33239,0.22452540690153133
友协,5547,友好协会,7222,0.7680697867626696
反和,285,反对和平,154,1.8506493506493509
反帝,1153,反对帝国主义,345,3.3420289855072465
反战,5580,反对战争,736,7.581521739130435
反殖,263,反对殖民主义,100,2.63
发股,2580,发行股票,4161,0.6200432588320115
受托,2369,接受委托,499,4.74749498997996
受教,10430,接受教育,2959,3.5248394727948633
受阅,3383,接受检阅,715,4.731468531468532
叙军,495,叙利亚军队,446,1.109865470852018
古史,764,古代历史,302,2.5298013245033113
台企,3748,台湾企业,3479,1.0773210692727797
台大,10687,台湾大学,3329,3.2102733553619704
台客,729,台湾旅客,700,1.0414285714285714
台市,5678,台湾股市,878,6.466970387243736
台生,2273,台湾学生,2990,0.7602006688963211
台胞,18365,台湾同胞,24436,0.7515550826649207
史展,469,历史展览,92,5.0978260869565215
史著,188,历史著作,119,1.5798319327731092
司助,147,司法救助,700,0.21
司干,487,司局级干部,320,1.521875
司训,144,司机训练,40,3.6
吉化,820,吉林化学工业公司,115,7.130434782608695
吉大,1331,吉林大学,2278,0.5842844600526778
名址,90,姓名和地址,183,0.4918032786885246
名导,1737,著名导演,2086,0.8326941514860978
吐纳,124,吐故纳新,190,0.6526315789473685
吧女,125,酒吧女郎,29,4.310344827586207
启导,38,启发引导,35,1.0857142857142856
呼市,782,呼和浩特市,4471,0.17490494296577946
和约,9270,和平条约,1712,5.414719626168225
和谈,32254,和平谈判,5597,5.762730033946757
品改,451,品种改良,549,0.8214936247723132
哥大,8035,哥伦比亚大学,2743,2.9292745169522423
唐院,22,唐山铁道学院,11,2
商台,201,商业电台,129,1.558139534883721
商展,941,商品展览,490,1.920408163265306
商服,646,商业服务业,421,1.5344418052256532
商检,1867,商品检验,731,2.5540355677154585
商流,453,商品流通,1758,0.257679180887372
商经,1050,商业经济,410,2.5609756097560976
商誉,620,商业信誉,453,1.3686534216335542
商贷,678,商业贷款,1928,0.3516597510373444
商运,216,商业运输,90,2.4
商银,18041,商业银行,46893,0.384726931524961
善信,1583,善男信女,250,6.332
困斗,56,困兽犹斗,66,0.8484848484848485
围殴,756,围攻殴打,95,7.957894736842105
国企,45661,国有企业,53735,0.8497441146366428
国列,878,国际旅客列车,109,8.055045871559633
国基,7107,国家基础,943,7.536585365853658
国控,1063,国家控制,572,1.8583916083916083
国标,3031,国家标准,9732,0.3114467735306206
国补,132,国家补贴,796,0.1658291457286432
国贸,13175,国际贸易,20121,0.6547885293971473
国银,9238,国际清算银行,930,9.933333333333334
图博,454,图书馆和博物馆,50,9.08
土军,1349,土耳其军队,917,1.471101417666303
土改,1240,土地改革,1329,0.9330323551542512
地价,17358,土地价格,1921,9.03591879229568
地勘,2391,地质勘查,1636,1.4614914425427872
地埋,581,地下埋藏,128,4.5390625
地学,10757,地球科学,1214,8.860790774299835
地矿,2228,地质矿产,1021,2.182174338883448
坚拒,213,坚持拒绝,170,1.2529411764705882
垒协,81,垒球协会,158,0.5126582278481012
城工,3433,城市工作,1077,3.1875580315691736
城巴,495,城市巴士,797,0.6210790464240903
城建,9644,城市建设,13699,0.7039929921892109
城改,2949,城市改造,670,4.401492537313433
城管,16711,城市管理,6276,2.6626832377310388
城郊,3641,城市郊区,629,5.788553259141494
城雕,224,城市雕塑,664,0.3373493975903614
基干,613,基层骨干,81,7.567901234567901
基建,12402,基本建设,8248,1.5036372453928224
基材,154,基本材料,84,1.8333333333333333
基训,18,基本训练,166,0.10843373493975904
塑编,43,塑料编织,151,0.2847682119205298
增幅,59697,增长幅度,8427,7.084015663937344
增干,32,增加干部,55,0.5818181818181818
增招,149,增加招生,83,1.7951807228915662
增支,1054,增加支出,466,2.2618025751072963
增收,27263,增加收入,3521,7.74297074694689
增税,1730,增加税收,1254,1.379585326953748
增编,161,增加编制,182,0.8846153846153846
增速,57194,增长速度,25417,2.250226226541291
增销,446,增加销售,282,1.5815602836879432
墨市,491,墨西哥市,566,0.8674911660777385
壁饰,40,墙壁装饰,12,3.3333333333333335
声画,52,声音和画面,24,2.1666666666666665
复交,2441,恢复外交关系,803,3.0398505603985058
复健,589,恢复健康,1289,0.4569433669511249
复关,1656,恢复关贸总协定缔约国地位,174,9.517241379310343
夏训,494,夏季训练,80,6.175
外事,18176,外交事务,2776,6.547550432276657
外军,5250,外国军队,3534,1.4855687606112054
外宣,6109,对外宣传,2132,2.8653846153846154
外次,18,外交部次官,55,0.32727272727272727
外烟,132,外国香烟,24,5.5
外片,62,外国影片,123,0.5040650406504065
外秘,205,外交秘书,693,0.2958152958152958
外空,2803,外层空间,1036,2.7055984555984556
外经,8060,对外经济,4613,1.747236071970518
外航,2724,外国航空公司,386,7.05699481865285
外贸,48993,对外贸易,17547,2.792101213882715
外销,6238,对外销售,1206,5.172470978441128
外院,402,外国语学院,908,0.4427312775330397
外需,7205,外部需求,1459,4.938313913639479
多经,5992,多种经营,5077,1.1802245420523931
大本,7798,大学本科,2526,3.0870942201108473
大核,1338,大亚湾核电站,1055,1.2682464454976303
大龄,1600,大年龄,233,6.866952789699571
太钢,995,太原钢铁公司,126,7.896825396825397
央航,42,中央航空公司,22,1.9090909090909092
央行,89085,中央银行,20847,4.273276730464815
失忆,426,失去记忆,63,6.761904761904762
奥体,3203,奥林匹克体育,2589,1.2371572035534957
奥校,104,奥林匹克学校,43,2.4186046511627906
女中,3469,女子中学,470,7.3808510638297875
女举,842,女子举重,2989,0.2816995650719304
女乒,1773,女子乒乓球队,230,7.708695652173913
女单,24024,女子单打,3417,7.0307287093942055
女双,13298,女子双打,1993,6.672353236327145
女台,215,女子跳台跳水,240,0.8958333333333334
女团,6274,女子团体,2939,2.134739707383464
女垒,1652,女子垒球,766,2.156657963446475
女师,102,女子师范学校,48,2.125
女曲,2583,女子曲棍球队,496,5.207661290322581
女板,91,女子跳板跳水,76,1.1973684210526316
女柔,406,女子柔道,1854,0.2189859762675297
女校,745,女子学校,273,2.728937728937729
女泳,171,女子游泳,435,0.3931034482758621
女监,171,女子监狱,474,0.36075949367088606
女花,810,女子花剑,1142,0.7092819614711033
女超,310,女子超级,140,2.2142857142857144
女足,31983,女子足球,3660,8.738524590163934
妇委,100,妇女委员,71,1.408450704225352
妇检,108,妇科检查,198,0.5454545454545454
委办,2607,委员会办公室,1631,1.598405885959534
委培,325,委托培养,318,1.0220125786163523
委管,603,委托管理,335,1.8
婉拒,2503,婉言拒绝,291,8.601374570446735
婚龄,470,结婚年龄,444,1.0585585585585586
嫌犯,23248,嫌疑犯,4047,5.744502100321226
孔教,428,孔子教育,114,3.754385964912281
季检,84,季度检查,18,4.666666666666667
学优,788,学习成绩优异,207,3.8067632850241546
学具,444,学习用具,287,1.5470383275261324
学联,6030,学生联合会,750,8.04
学运,1497,学生运动,1881,0.79585326953748
学额,470,学生名额,94,5
守疆,31,守卫边疆,23,1.3478260869565215
安保,29324,安全保卫,6144,4.772786458333333
安控,206,安全控制,870,0.2367816091954023
安检,13559,安全检查,6289,2.155986643345524
安盟,5800,争取安哥拉彻底独立全国联盟,956,6.066945606694561
安钢,391,安阳钢铁公司,45,8.688888888888888
宋瓷,76,宋代瓷器,30,2.533333333333333
完中,633,完全中学,123,5.146341463414634
完封,99,完全封锁,140,0.7071428571428572
完小,941,完全小学,335,2.808955223880597
官校,421,军官学校,436,0.9655963302752294
定存,2893,定期存款,3374,0.8574392412566686
实小,612,实验小学,1871,0.3270978086584714
实操,526,实际操作,3637,0.14462469067913114
实效,17912,实际效果,2363,7.580194667795175
审执,96,审理执行,11,8.727272727272727
审期,482,审理期限,181,2.6629834254143647
审案,1591,审理案件,737,2.1587516960651287
客量,4217,客流量,6983,0.6038951739939854
宣导,809,宣传引导,418,1.9354066985645932
宣教,1734,宣传教育,12027,0.14417560488899975
宪草,84,中华人民共和国宪法草案,15,5.6
宪警,67,宪兵和警察,90,0.7444444444444445
家教,11426,家庭教育,3658,3.1235647895024603
家服,3008,家庭服务,1322,2.275340393343419
家财,13395,家庭财产,1779,7.529510961214165
密报,475,秘密报告,274,1.7335766423357664
寸照,73,一寸照片,31,2.3548387096774195
射联,94,射击联合会,101,0.9306930693069309
射距,83,射击距离,54,1.537037037037037
小巴,1545,小型巴士,166,9.30722891566265
少体,555,少年体育,848,0.65448113207547165
少足,371,少年足球,2507,0.14798564020741922
尤杯,880,尤伯杯,1276,0.6896551724137931
尸表,87,尸体表面,15,5.8
尸解,44,尸体解剖,415,0.10602409638554217
尼共,1369,尼泊尔共产党,834,1.6414868105515588
尼大,1602,尼赫鲁大学,166,9.650602409638552
尿感,44,尿路感染,197,0.2233502538071066
尿检,1333,尿样检查,178,7.48876404494382
局地,5357,局部地区,10720,0.4997201492537313
局麻,39,局部麻醉,156,0.25
届退,101,届龄退休,29,3.4827586206896552
展馆,12232,展览馆,4116,2.9718172983479105
岗培,749,岗位培训,1149,0.6518711923411662
岸炮,79,海岸炮,326,0.24233128834355827
崇美,61,推崇美国,13,4.6923076923076925
川大,16081,四川大学,3143,5.1164492523067135
川府,19,四川政府,33,0.5757575757575758
川航,739,四川航空公司,281,2.6298932384341636
巡展,2996,巡回展出,729,4.109739368998628
巡讲,843,巡回演讲,383,2.2010443864229763
工产,2660,工业生产,12368,0.21507115135834412
工企,11157,工业企业,15206,0.7337235301854531
工体,1897,北京工人体育场,545,3.4807339449541286
工厦,83,工业大厦,140,0.5928571428571429
工大,18765,工业大学,5070,3.701183431952663
工属,62,职工家属,469,0.13219616204690832
工总,3338,工业总会,1380,2.418840579710145
工改,412,工资制度改革,338,1.2189349112426036
工效,820,工作效率,4420,0.18552036199095023
工时,6836,工作时间,6925,0.9871480144404332
工疗,83,工人疗养院,59,1.4067796610169492
工纠,71,工人纠察,42,1.6904761904761905
工经,2094,工业经济,5293,0.3956168524466277
工美,439,工艺美术品,448,0.9799107142857144
工装,977,工艺装备,264,3.700757575757576
工调,509,工资调整,325,1.5661538461538462
巨资,8475,巨额资金,2266,3.740070609002648
巴盟,143,内蒙古自治区巴彦淖尔盟,34,4.205882352941177
巴航,178,巴基斯坦航空公司,24,7.416666666666667
市况,1425,市场状况,1366,1.0431918008784773
市办,684,市委办公室,274,2.4963503649635035
市务,389,市场业务,661,0.5885022692889561
市宫,13,市工人文化宫,125,0.104
市经,14455,市场经济,74198,0.1948165718752527
市队,1169,市代表队,323,3.619195046439629
师专,1621,师范专科学校,163,9.94478527607362
师友,247,老师和朋友,33,7.484848484848484
师培,3142,师资培训,860,3.6534883720930234
师大,5265,师范大学,8174,0.6441154881331049
师院,431,师范学院,2608,0.165260736196319
帮理,15,帮助料理,52,0.28846153846153844
帮贫,202,帮助贫困户,147,1.3741496598639455
干教,1826,干部教育,3702,0.4932468935710427
干管,394,干线管道,74,5.324324324324325
平叛,473,平息叛乱,260,1.8192307692307692
平摊,482,平均分摊,67,7.1940298507462686
幼专,20,幼儿师范专科学校,13,1.5384615384615383
幼托,196,幼儿入托,47,4.170212765957447
广协,300,广告协会,395,0.759493670886076
广府,329,广州政府,81,4.061728395061729
广涉,45,广泛涉及,107,0.4205607476635514
应化,236,应用化学,242,0.975206611570248
庭期,430,开庭日期,114,3.771929824561404
建协,317,建筑协会,134,2.3656716417910446
建商,3566,建筑商,1595,2.235736677115987
建外,1088,建国门外,139,7.827338129496403
建工,25627,建筑工程,5368,4.77403129657228
建施,314,建设实施,781,0.4020486555697823
建材,19388,建筑材料,4870,3.9811088295687886
建照,61,建筑执照,26,2.3461538461538463
建管,737,建筑管理,147,5.01360544217687
建署,18,香港建筑署,19,0.9473684210526316
建陶,180,建筑陶瓷,272,0.6617647058823529
开行,10039,开发银行,3748,2.6784951974386337
引智,1699,引进国外智力,603,2.8175787728026536
引资,16443,引进资金,1788,9.196308724832214
强迁,75,强制迁移,12,6.25
