筹资	筹集资金
厂商会	香港中华厂商联合会
外汇局	外汇管理局
监委	监察委员会
换俘	交换俘虏
高知	高级知识分子
创议	创新建议
盲流	盲目流动
二十中	第二十中学
基建	基本建设
现势	现实形势
空港	航空港
车市	汽车市场
中直	中央直属机关
工研院	工业研究院
艺大	艺术大学
无人机	无人驾驶飞机
汤杯	汤姆斯杯
外片	外国影片
前指	前线指挥部
民族宫	北京民族文化宫
女中	女子中学
维港	维多利亚港
贪贿	贪污和受贿
水保	水土保持
商交所	商品交易所
国贸	国际贸易
一纵	第一纵队
严斥	严厉斥责
国标	国家标准
免刑	免予刑事处分
调温	调节温度
航母	航空母舰
棉织	棉纺织
港大	香港大学
电业	电力工业
棒协	棒球协会
亚锦赛	亚洲锦标赛
女垒	女子垒球
港姐	香港小姐
私宅	私人住宅
警校	警察学校
统整	统一整合
税警	税务警察
组训	组织训练
世青赛	世界青年锦标赛
农经	农业经济
心搏	心脏搏动
展馆	展览馆
护校	护士学校
共建	共同建设
外空	外层空间
成棒	成人棒球
经团联	日本经济团体联合会
一秘	一等秘书
特支	特别支部
国家防总	国家防汛抗旱总指挥部
官校	军官学校
普高	普通高级中学
机器人所	机器人研究所
上昆	上海昆剧团
劳联	劳工联合会
上博	上海博物馆
二秘	二等秘书
育乐	体育娱乐
村委	村民委员会
农技	农业技术
建照	建筑执照
上京	上海京剧院
铁一局	铁道部第一工程局
编务	编辑业务
禁映	禁止放映
督查	监督检查
校纪	学校纪律
荣军	荣誉军人
波幅	波动幅度
探空	探测太空
保队	保加利亚队
海测	海洋测量
合作企业	中外合作经营企业
赛地	比赛地点
金管局	香港金融管理局
军报	解放军报
高检	最高人民检察院
亚青	亚洲青年
自贸区	自由贸易区
文教	文化教育
软网	软式网球
职总	职工总会
一战后	第一次世界大战后
二十二中	第二十二中学
俄航	俄罗斯航空公司
地学	地球科学
星箭	卫星和火箭
暨大	暨南大学
孔教	孔子教育
财年	财政年度
朝中社	朝鲜中央通讯社
续演	继续演出
遗传所	遗传研究所
城建	城市建设
拳协	拳击协会
祖国战线	祖国统一民主主义战线
调研	调查研究
药监	药品监督
上视	上海电视台
彩卷	彩色胶卷
军贸	军火贸易
中纪委	中央纪律检查委员会
参训	参加训练
机电署	机电工程署
社保	社会养老保险
邮储	邮政储蓄
三产	第三产业
职校	职业学校
高工	高级工程师
职灾	职业灾害
中控	中央控制
公德	公共道德
土改	土地改革
地埋	地下埋藏
户政	户籍政策
内控	内部控制
运能	运输能力
超模	超级模特
空压机	空气压缩机
工总	工业总会
旅展	旅游展览
沙俄	沙皇俄国
冰期	冰川时期
能耗	能源消耗
餐旅	餐饮旅游
伊航	伊拉克航空公司
金属所	金属研究所
体校	体育学校
中心馆	中心图书馆
西航	西北航空公司
车况	车辆状况
储贷	储蓄和贷款
公校	公办学校
亚姐	亚洲小姐
战训	战备训练
高息	高额利息
23中	第23中学
语言所	语言研究所
抬价	抬高价格
中委	中央委员
安盟	争取安哥拉彻底独立全国联盟
握别	握手告别
办展	举办展览
规管	规划管理
共享税	中央和地方共享税
河界	楚河汉界
设陷	设置陷阱
申装	申请安装
技校	技工学校
飞行队	飞行服务队
大众传媒	大众传播媒介
矿管局	矿产资源管理局
陆航	陆军航空兵
电大	广播电视大学
南太地区	南太平洋地区
自防	自身防范
上海交大	上海交通大学
援藏	支援西藏
空爆	空中爆炸
射距	射击距离
俄联邦	俄罗斯联邦
体工	体育工作
亚青赛	亚洲青年锦标赛
国际羽联	国际羽毛球联合会
呼市	呼和浩特市
台胞	台湾同胞
台客	台湾旅客
师专	师范专科学校
钱江	钱塘江
北师大	北京师范大学
参会	参加会议
军代表	解放军代表
城管	城市管理
非公经济	非公有经济
保共	保加利亚共产党
标煤	标准煤
技改	技术改造
博导	博士生导师
体院	体育学院
统测	统一测试
首师大	首都师范大学
民乐	民族音乐
华东师大	上海华东师范大学
运管	运输管理
委办	委员会办公室
统招	统一招生
政工	思想政治工作
辽大	辽宁大学
特需	特殊需要
交管部门	交通管理部门
地勘	地质勘查
祭仪	祭奠仪式
治污	治理污染
工体	北京工人体育场
建工	建筑工程
私企	私营企业
交行	交通银行
田管	田间管理
足校	足球学校
计生	计划生育
工博会	工业博览会
北邮	北京邮电大学
批捕	批准逮捕
纪检委	纪律检查委员会
参拍	参加拍摄
法学所	法学研究所
经适房	经济适用房
公交	公共交通
国家民委	国家民族事务委员会
经委	经济委员会
温控	温度控制
亚冬会	亚洲冬季运动会
苏绣	苏州刺绣
管养	管理和养护
青工部	青年工作部
全国青联	中华全国青年联合会
农高会	农业高新科技成果博览会
羽总	香港羽毛球总会
巡展	巡回展出
科考队	科学考察队
乙脑	乙型脑炎
中院	中级人民法院
上交所	上海证券交易所
党建	党的建设
植棉	种植棉花
显效	显著效果
完中	完全中学
青训	青年培训
教科院	教育科学研究院
普教	普通教育
初小	初级小学
浙大	浙江大学
西南交大	西南交通大学
扩招	扩大招生
招飞	招收飞行学员
内审	内部审计
厨卫	厨房卫生
助研	助理研究员
农大	农业大学
外文局	外文出版发行事业局
商检	商品检验
财经委	财政经济委员会
治淮	治理淮河
黄委会	黄河水利委员会
运距	运输距离
哈医大	哈尔滨医科大学
联汇制	联系汇率制度
奥体	奥林匹克体育
外联部	对外联络部
学工部	学生工作部
特困	特殊困难
评模	评选模范
引资	引进资金
引智	引进国外智力
政院	政治学院
居委会	居民委员会
植保	植物保护
作代会	作家代表大会
太钢	太原钢铁公司
联汇	联系汇率
深交所	深圳证券交易所
女乒	女子乒乓球队
男乒	男子乒乓球
国基	国家基础
大本	大学本科
女师	女子师范学校
幼托	幼儿入托
参赌	参加赌博
批建	批准建设
严管	严格管理
住房改革	住房制度改革
人防	人民防空
省医	省立医院
学平险	学生平安保险
辽沈	辽宁沈阳
华师大	华东师范大学
学具	学习用具
工美	工艺美术品
校运会	学校运动会
经院	经济学院
外经	对外经济
执纪	执行纪律
环发	环境与发展
煤质	煤炭质量
煤机厂	煤矿机械厂
摩步	摩托化步兵
伊协	伊斯兰教协会
管护	管理和保护
青少部	青少年部
女团	女子团体
反帝	反对帝国主义
国际柔联	国际柔道联合会
美展	美术作品展览
机电部	机械电子工业部
外宣	对外宣传
纺织部	纺织工业部
工业废物	工业固体废物
知青	知识青年
文娱	文化娱乐
世行	世界银行
排管	排水管道
附小	附属小学
牙防	牙病防治
收教	收容教育
婚龄	结婚年龄
高公局	高速公路管理局
国际马联	国际马术联合会
维园	香港维多利亚公园
学额	学生名额
劳保	劳动保护
判监	判处监禁
彩印	彩色印刷
农房	农民住房
潜亏	潜在亏损
临建	临时建筑
排协	排球协会
旅团	旅行团
社教	社会教育
农运	农民运动
军体	军事体育
特批	特别批准
上戏	上海戏剧学院
地空导弹	地对空导弹
清大	台湾清华大学
支边	支援边疆
北京人艺	北京人民艺术剧院
地矿	地质矿产
产需	生产需求
平摊	平均分摊
食监	食品卫生监督检验
花博会	花卉博览会
联储局	联邦储备局
书艺	书法艺术
中央美院	中央美术学院
艺展	艺术展览
作训	作战训练
受阅	接受检阅
国际棋联	国际象棋联合会
打防	打击和防范
实控线	实际控制线
血检	血液检测
鲁艺	鲁迅艺术文学院
投建	投资建设
建外	建国门外
行政庭	行政审判庭
采供	采购供应
彩照	彩色照片
川航	四川航空公司
女举	女子举重
客量	客流量
公捕	公开逮捕
社保费	社会保险费
增支	增加支出
吉化	吉林化学工业公司
车管	车辆管理
经货联盟	欧洲经济货币联盟
瓦检员	瓦斯检测员
市务	市场业务
社署	香港社会福利署
老龄委	老龄工作委员会
治保	治安保卫
人教司	人事教育司
环科所	环境科学研究所
突审	突击审讯
兑汇	兑换外汇
还贷	偿还贷款
舞美	舞台美术
亚排联	亚洲排球联合会
加幅	增加幅度
锡盟	锡林郭勒盟
台企	台湾企业
煤炭部	煤炭工业部
劳模	劳动模范
沈大	沈阳大学
工效	工作效率
农军	农民自卫军
平叛	平息叛乱
展洽会	展览洽谈会
女柔	女子柔道
台生	台湾学生
国开行	国家开发银行
首旅	首都旅游
公意	公民意愿
青干班	青年干部培训班
安委办	安全生产委员会办公室
金交所	金融交易所
专署	专员公署
美院	美术学院
国家语委	国家语言文字工作委员会
港客	香港客商
投洽会	投资洽谈会
巡讲	巡回演讲
联交所	香港联合交易所
合同工	合同制工人
公惩会	公务员惩戒委员会
共保	共同保护
普训	普及培训
参试	参加试验
质保	质量保证
女曲	女子曲棍球队
男花	男子花剑
空地导弹	空对地导弹
学联	学生联合会
支书	支部书记
刑事技术	刑事科学技术
雪联	滑雪联合会
史语所	历史语言研究所
统供	统一供应
评优	评选优秀
海湾合作委员会	海湾阿拉伯国家合作委员会
城管办	城市管理办公室
艺校	艺术学校
复关	恢复关贸总协定缔约国地位
涉老	涉及老年人
教办	教育办公室
投运	投入运行
工展会	工业展览会
组工	组织工作
防贪	防止贪污
外烟	外国香烟
军检	军事检察院
科考	科学考察
基社盟	基督教社会联盟
女花	女子花剑
男曲	男子曲棍球
读博	攻读博士学位
防指	防汛抗旱指挥部
排联	排球联合会
增招	增加招生
控污	控制污染
聚赌	聚众赌博
世俱杯	世界俱乐部杯
内潜	内部潜力
军管会	军事管制委员会
体彩	体育彩票
国际体联	国际体操联合会
青协	青年协会
调资	调整工资
广电部	广播电影电视部
心内科	心血管内科
纠风	纠正行业不正之风
农电	农村用电
主秘	主任秘书
长输	长途运输
北展	北京展览馆
科仪	科学仪器
公铁	公路铁路
农信联社	农村信用联社
语训	语言训练
联校	联合学校
责编	责任编辑
农工委	农村工作委员会
帮贫	帮助贫困户
劳服	劳动服务
年运量	年运输量
统分	统一分配
国家体改委	国家经济体制改革委员会
交委	交通委员会
楼按	楼宇按揭
钢研	钢铁研究
证交税	证券交易税
血防	血吸虫病防治
黄陵	黄帝陵
人美	人民美术出版社
珠影	珠江电影制片厂
七建	第七建筑公司
临客	临时旅客列车
纪监	纪律监督
计财处	计划财务处
街总	街坊总会
奥校	奥林匹克学校
老慢支	老年慢性支气管炎
成教	成人教育
商台	商业电台
赤几	赤道几内亚
评先	评选先进
强迁	强制迁移
高专	高等专科学校
香港工联	香港工会联合会
审执	审理执行
文保	文物保护
临委会	临时委员会
过境税	过境关税
联招	联合招生
北影	北京电影制片厂
林科院	林业科学院
林型	森林类型
非行	非洲开发银行
普九	普及九年制义务教育
参编	参加编写
上柴	上海柴油机厂
外航	外国航空公司
杜诗	杜甫的诗
中央工艺美院	中央工艺美术学院
附院	附属医院
佛协	佛教协会
首拍	首次拍卖
国家经委	国家经济委员会
西安体院	西安体育学院
海委会	政府间海洋学委员会
国统区	国民党统治区
航图	航空图
国控	国家控制
卫校	卫生学校
语委	语言文字工作委员会
邮市	邮票市场
苏杭	苏州和杭州
建管	建筑管理
劳技	劳动和技术
计经委	计划经济委员会
声画	声音和画面
首体	首都体育馆
林大	林业大学
储种	储蓄种类
国家计生委	国家计划生育委员会
长航	长江航运
金贸	黄金贸易
主险	主要保险
收审	收容审查
酒钢	酒泉钢铁公司
北体	北京体育大学
毛选	毛泽东选集
整党	整顿党风
全麻	全身麻醉
委培	委托培养
全教会	全国教育工作会议
农办	农业办公室
救孤	救助孤儿
反殖	反对殖民主义
集游法	集会游行法
国际网联	国际网球联合会
流脑	流行性脑脊髓膜炎
校董会	学校董事会
一幼	第一幼儿园
游将	游泳健将
基干	基层骨干
重百	重庆百货
减亏	减少亏损
直客	直通旅客列车
安钢	安阳钢铁公司
早教	早期教育
心外科	心血管外科
菲央行	菲律宾中央银行
保监处	保险业监理处
迎检	迎接检查
优长	优点和长处
刑警局	刑事警察局
农居	农转居
普工	普通工人
善信	善男信女
社科系	社会科学系
牡丹卡	牡丹信用卡
长城卡	长城信用卡
搜毒	搜查毒品
欧空局	欧洲空间局
镇反	镇压反革命
美编	美术编辑
防保	预防保健
羽协	羽毛球协会
商运	商业运输
植检	植物检疫
安莎社	安莎通讯社
春管	春季田间管理
南师	南京师范大学
南艺	南京艺术学院
职安	职业安全健康
招干	招聘干部
物理所	物理研究所
二商	第二商业
沈铁	沈阳铁路局
电教	电化教学
自控力	自我控制力
65中	第65中学
电感	电子感应
清债	清理债务
二机部	第二机械工业部
西北师大	西北师范大学
曲联	曲棍球联合会
三机部	第三机械工业部
五一节	五一国际劳动节
夏训	夏季训练
议联	议员联盟
技协	技术协会
图博	图书馆和博物馆
西画	西洋画
产供	生产供应
校委会	校务委员会
基材	基本材料
尸表	尸体表面
保盟	保卫中国同盟
直机关	直属机关
治则	治疗原则
舞校	舞蹈学校
川大	四川大学
彩超	彩色B超
政校	政治学校
短训班	短期培训班
参游	参加旅游
亚羽联	亚洲羽毛球联合会
脑体	脑力劳动和体力劳动
上港	上海港务局
地矿局	地质矿产局
电镜	电子显微镜
胸透	胸部透视
劳保所	劳动保护科学研究所
二炼钢	第二炼钢厂
高师	高等师范
六运会	第六届全国运动会
黄带	黄色录像带
专储	专项储备
教科文卫委	教育科学文化卫生委员会
中芭	中央芭蕾舞团
软件所	软件研究所
亚俱杯	亚洲俱乐部杯
整纪	整顿纪律
女监	女子监狱
库管员	仓库保管员
管输	管道输送
医委会	医学委员会
深弹	深水炸弹
煤管局	煤炭管理局
扶残	扶助残疾人
盒带	盒式录音带
招选	招聘选拔
管城	管理城市
南华会	香港南华体育会
国家工商局	国家工商行政管理局
白兰花	白玉兰花
林管局	林业管理局
宋瓷	宋代瓷器
针麻	针刺麻醉
拒批	拒绝批准
农广校	农业广播电视学校
心梗	心肌梗塞
世经所	世界经济研究所
贪案	贪污案件
冶金所	冶金研究所
塑编	塑料编织
澳姐	澳门小姐
组派	组织派遣
综保	综合保险
国际手联	国际手球联合会
专控	专项控制
武联	武术联合会
特委	特别委员会
降损	降低损耗
准购	批准购买
控申	控告申诉
玻纤	玻璃纤维
治黄	治理黄河
环委会	环境保护委员会
采标	采用国际标准和国外先进标准
汉译	汉语翻译
建安公司	建筑安装公司
完小	完全小学
教卫	教育和卫生
海校	海军学校
工发组织	联合国工业发展组织
专干	专职干部
尤杯	尤伯杯
中东社	中东通讯社
省防指	省防汛指挥部
协处	协助处理
职中	职业中学
工厦	工业大厦
宣教部	宣传教育部
东汽	东风汽车公司
轻卡	轻型卡车
工疗	工人疗养院
教统会	香港教育统筹委员会
人教社	人民教育出版社
欧航局	欧洲航天局
直资	直接资助
教联会	香港教育工作者联会
矿大	矿业大学
电建	电力建设
万国邮联	万国邮政联盟
步校	步兵学校
私烟	走私香烟
辽吉	辽宁吉林
欧华联会	欧洲华侨华人社团联合会
非统	非洲统一组织
重教	重视教育
污控司	污染控制司
人劳局	人事劳动局
国际航联	国际航空运动联合会
哈军工	哈尔滨军事工程学院
微生物所	微生物研究所
政圈	政治圈子
退约	退出条约
青工	青年工人
智残	智力残疾
七机部	第七机械工业部
国际箭联	国际射箭联合会
深房	深圳住房
推普	推广普通话
初教	初等教育
经济庭	经济审判庭
激光所	激光技术研究所
广管局	香港广播事务管理局
上师大	上海师范大学
增销	增加销售
航校	航空学校
胆石	胆囊结石
女台	女子跳台跳水
中财委	中央财政经济委员会
征期	征收期
劳防	劳动防护
财困	财政困难
建陶	建筑陶瓷
广府	广州政府
六机部	第六机械工业部
云大	云南大学
武协	武术协会
轮涨	轮番上涨
保教	保育教育
巴盟	内蒙古自治区巴彦淖尔盟
热工	热能工程
朝军	朝鲜军队
高研班	高级研讨班
火电站	火力发电站
光机所	光学精密机械研究所
光电所	光电技术研究所
卫片	卫星照片
国际举联	国际举重联合会
亚乒	亚洲乒乓球
古史	古代历史
政研室	政策研究室
国际铁联	国际铁人三项联合会
南侨	南洋华侨
内刊	内部刊物
二汽	第二汽车制造厂
村企	村办企业
农发基金	农村发展基金
文工会	文化工作委员会
公用局	公用事业局
国际拳联	国际业余拳击联合会
交咨会	交通咨询委员会
技物所	技术物理研究所
普六	普及六年制义务教育
应化	应用化学
上芭	上海芭蕾舞团
学代会	学生代表大会
保定军校	保定军官学校
公汽公司	公共汽车公司
昆腔	昆山腔
炮指	炮兵指挥部
巴航	巴基斯坦航空公司
二轻局	第二轻工业局
菌痢	细菌性痢疾
特教班	特殊教育班
免诉	免予起诉
肌注	肌肉注射
商服	商业服务业
首图	首都图书馆
港监	港务监督
群文	群众文化艺术
运管费	运输管理费
经联社	经济联合社
农贷	农业贷款
产加销	生产加工销售
军婚	军人婚姻
巴黎公约	保护工业产权巴黎公约
联试	联合试验
农研所	农业科学研究所
打私	打击走私活动
一机部	第一机械工业部
四机部	第四机械工业部
数学所	数学研究所
人口普查办	人口普查领导小组办公室
腰穿	腰椎穿刺
粮经	粮食经济
亚洲手联	亚洲手球联合会
杭大	杭州大学
房津	房屋津贴
统算	统一核算
炮团	炮兵团
世运会	世界运动会
二棉	第二棉纺织厂
邮运	邮政运输
运邮	运送邮件
销势	销售形势
加榴炮	加农榴弹炮
农用电	农业用电
统检	统一检查
考纲	考试大纲
残奥运	残疾人奥林匹克运动
延安鲁艺	延安鲁迅艺术学院
粮贸	粮食贸易
曲作家	词曲作家
南共体	南部非洲发展共同体
举联	举重联合会
退管	退休职工管理
剑校	击剑学校
名址	姓名和地址
残工委	残疾人工作委员会
普客	普通旅客列车
安医大	安徽医科大学
劳卫	劳动卫生
计生户	计划生育户
三棉	第三棉纺织厂
船舶证书	船舶检验证书
行人专区	行人专用区
男板	男子跳板跳水
乡建	乡村建设
杭州艺专	杭州艺术专科学校
摩配	摩托车配件
军转工作	军队转业干部安置工作
守疆	守卫边疆
治太	治理太湖
水电大	水利电力大学
女板	女子跳板跳水
护鸟	保护鸟类
射联	射击联合会
财校	财政学校
举协	举重协会
招委	招生委员会
扩校	扩大学校
未保委	未成年人保护委员会
铁二院	铁道部第二勘测设计院
空政	空军政治部
粮改	粮食购销体制改革
日铁	日本铁路
自协	自行车运动协会
林校	林业学校
高能所	高能物理研究所
铁三院	铁道部第三勘测设计院
译协	翻译工作者协会
商贷	商业贷款
车险公司	汽车保险公司
市办	市委办公室
四城会	第四届城市运动会
炮校	炮兵学校
外联处	对外联络处
防总办	防汛总指挥部办公室
二医大	上海第二医科大学
文管办	文化市场管理办公室
创演	创作和演出
步炮	步兵和炮兵
社劳青	社会主义劳动青年同盟
仓管员	仓库管理员
市容委	市容管理委员会
上交会	上海商品交易会
国际共运	国际共产主义运动
陆校	陆军学校
桥联	桥牌联合会
协拍	协助拍摄
冬交会	冬季交易会
冰协	冰球协会
老协	老年人协会
社科司	社会科学司
燕大	燕京大学
普内	普通内科
少儿基金会	少年儿童基金会
短网	短式网球
建协	建筑协会
广涉	广泛涉及
二商局	第二商业局
计财司	计划财务司
国际冰联	国际冰球联合会
铁十六局	铁道部第十六工程局
博协	博物馆协会
放私	放纵走私
计财部	计划财务部
梅剧团	梅兰芳剧团
扩销	扩大销售
损农	损害农民利益
计量局	标准计量局
铁五局	铁道部第五工程局
铁一院	铁道部第一勘测设计院
五交	五金交电
路警	铁路警察
农院	农业学院
教科所	教育科学研究所
铁十一局	铁道部第十一工程局
铁四院	铁道部第四勘测设计院
农险	农业保险
水科院	水利水电科学研究院
世界工联	世界工会联合会
非工统	非洲工会统一组织
北京体院	北京体育学院
支铁	支援铁路建设
医科院	医学科学院
劣品	劣质商品
规土局	规划土地局
大三生	大学三年级学生
雕艺	雕刻艺术
职大	职工大学
铁四局	铁道部第四工程局
西工大	西北工业大学
控亏	控制亏损
一冶	第一冶炼厂
环情	环境情况
中运会	中学生运动会
伏休	伏季休渔
韩食	韩国食品
武星	武打明星
农发基金会	国际农业发展基金会
青保	青少年保护
航院	航空学院
热作	热带作物
擅设	擅自设置
声学所	声学研究所
农本	农业成本
静息	安静休息
群艺馆	群众艺术馆
扩红	扩大红军
机械委	机械工业委员会
文体广电局	文化体育广播电视局
五城会	第五届城市运动会
控购	控制购买
有机所	有机化学研究所
街居	街道居民
铅排	铅字排版
花协	花卉协会
拖厂	拖拉机制造厂
北平艺专	北平艺术专科学校
教参	教学参考资料
林科所	林业科学研究所
展交会	展览交易会
国际计生联	国际计划生育联合会
毛著	毛泽东著作
地科院	地质科学研究院
支乡	支援家乡
农研室	农村政策研究室
舞协	舞蹈家协会
静点	静脉点滴
南工团	南下工作团
远教	远距离教育
铁三局	铁道部第三工程局
政训	政治训练
评职	评定职称
劳技课	劳动技术课
史著	历史著作
春考	春季考试
版协	出版协会
一附中	第一附属中学
赛题	竞赛题目
临屋	临时房屋
经协办	经济协作办公室
高护	高级护士
视协	电视艺术家协会
石化厅	石油化学工业厅
罗政	罗马尼亚政府
煤化所	煤炭化学研究所
铁中	铁路中学
冰联	冰球联合会
浙昆	浙江昆剧团
青运史	青年运动史
甲减	甲状腺功能减退
启导	启发引导
去今	去年今年
少儿社	少年儿童出版社
共盟	共产主义者联盟
农技协	农业技术协会
欧鳗	欧洲鳗
陶研	陶行知研究
军需所	军需装备研究所
职改	职称改革
煤科	煤炭科学
修律	修订法律
组设	组织设立
标样	标准样品
医管会	医院管理学会
体疗	体育医疗
